run_id,description,lr,gamma,hidden_size,batch_size,max_score,avg_score,num_games
run_20250421_165004_8ed0,Deep Q baseline test,0.001,0.9,256,1000,3,0.5,18
run_20250421_165213_5dda,Deep Q baseline test,0.001,0.9,256,1000,33,9.38,200
run_20250421_171158_f175,Test LR=0.0001,0.0001,0.9,256,1000,12,1.295,200
run_20250421_171638_e81e,Test LR=0.0005,0.0005,0.9,256,1000,31,7.91,200
run_20250421_172331_78db,Test LR=0.001,0.001,0.9,256,1000,35,9.215,200
run_20250421_173004_59fc,Test LR=0.005,0.005,0.9,256,1000,35,10.795,200
run_20250421_173640_407a,Test LR=0.01,0.01,0.9,256,1000,36,10.285,200
run_20250421_174824_8073,"LR=0.0001, gamma=0.8, hidden=128, batch=500",0.0001,0.8,128,500,6,0.475,200
run_20250421_175107_1418,"LR=0.0001, gamma=0.8, hidden=128, batch=1000",0.0001,0.8,128,1000,7,0.43,200
run_20250421_175410_c1c6,"LR=0.0001, gamma=0.8, hidden=256, batch=500",0.0001,0.8,256,500,6,0.865,200
run_20250421_175657_e978,"LR=0.0001, gamma=0.8, hidden=256, batch=1000",0.0001,0.8,256,1000,25,1.68,200
run_20250421_180014_1ffd,"LR=0.0001, gamma=0.9, hidden=128, batch=500",0.0001,0.9,128,500,6,1.06,200
run_20250421_180258_42ad,"LR=0.0001, gamma=0.9, hidden=128, batch=1000",0.0001,0.9,128,1000,16,1.27,200
run_20250421_180646_4f97,"LR=0.0001, gamma=0.9, hidden=256, batch=500",0.0001,0.9,256,500,26,2.735,200
run_20250421_181057_a72b,"LR=0.0001, gamma=0.9, hidden=256, batch=1000",0.0001,0.9,256,1000,12,1.05,200
run_20250421_181426_9019,"LR=0.001, gamma=0.8, hidden=128, batch=500",0.001,0.8,128,500,21,2.825,200
run_20250421_181839_0e27,"LR=0.001, gamma=0.8, hidden=128, batch=1000",0.001,0.8,128,1000,22,2.885,200
run_20250421_182309_ba6a,"LR=0.001, gamma=0.8, hidden=256, batch=500",0.001,0.8,256,500,33,9.08,200
run_20250421_182757_99be,"LR=0.001, gamma=0.8, hidden=256, batch=1000",0.001,0.8,256,1000,31,8.945,200
run_20250421_183312_73e9,"LR=0.001, gamma=0.9, hidden=128, batch=500",0.001,0.9,128,500,31,7.98,200
run_20250421_183802_0a2c,"LR=0.001, gamma=0.9, hidden=128, batch=1000",0.001,0.9,128,1000,32,8.005,200
run_20250421_184321_f129,"LR=0.001, gamma=0.9, hidden=256, batch=500",0.001,0.9,256,500,30,8.73,200
run_20250421_184803_67a0,"LR=0.001, gamma=0.9, hidden=256, batch=1000",0.001,0.9,256,1000,33,7.865,200
