game,score
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,3
38,0
39,0
40,0
41,4
42,1
43,2
44,1
45,0
46,1
47,3
48,0
49,1
50,1
51,2
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,4
62,2
63,0
64,1
65,1
66,2
67,2
68,0
69,1
70,3
71,2
72,0
73,0
74,2
75,9
76,0
77,0
78,0
79,5
80,5
81,6
82,12
83,8
84,8
85,1
86,10
87,17
88,14
89,4
90,16
91,13
92,11
93,2
94,17
95,14
96,22
97,16
98,19
99,13
100,1
101,0
102,0
103,0
104,0
105,12
106,13
107,14
108,12
109,18
110,14
111,8
112,7
113,23
114,17
115,15
116,20
117,18
118,6
119,19
120,13
121,13
122,19
123,19
124,9
125,9
126,24
127,29
128,22
129,9
130,27
131,10
132,22
133,13
134,18
135,25
136,17
137,9
138,16
139,20
140,12
141,21
142,24
143,8
144,19
145,13
146,10
147,13
148,29
149,15
150,15
151,5
152,21
153,15
154,19
155,18
156,23
157,19
158,15
159,20
160,20
161,24
162,6
163,11
164,19
165,11
166,24
167,18
168,13
169,13
170,17
171,10
172,20
173,22
174,14
175,15
176,26
177,14
178,9
179,11
180,20
181,20
182,9
183,18
184,12
185,15
186,8
187,11
188,6
189,23
190,28
191,9
192,24
193,22
194,20
195,10
196,19
197,11
198,28
199,33
200,26
