game,score
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,3
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,3
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,2
73,0
74,0
75,1
76,1
77,2
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,2
88,0
89,0
90,2
91,2
92,1
93,0
94,0
95,1
96,8
97,0
98,1
99,2
100,4
101,0
102,0
103,0
104,0
105,1
106,1
107,3
108,0
109,0
110,0
111,0
112,4
113,0
114,3
115,1
116,0
117,0
118,1
119,5
120,0
121,3
122,5
123,0
124,0
125,4
126,0
127,0
128,0
129,0
130,8
131,3
132,0
133,1
134,4
135,11
136,1
137,7
138,1
139,8
140,0
141,0
142,0
143,6
144,0
145,5
146,2
147,7
148,2
149,0
150,4
151,3
152,0
153,0
154,1
155,0
156,0
157,2
158,0
159,0
160,3
161,1
162,2
163,0
164,1
165,5
166,3
167,0
168,1
169,4
170,1
171,0
172,0
173,2
174,0
175,2
176,4
177,3
178,1
179,9
180,1
181,1
182,0
183,0
184,0
185,1
186,2
187,5
188,6
189,0
190,1
191,12
192,2
193,2
194,2
195,1
196,0
197,5
198,0
199,0
200,12
