game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,2
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,3
49,1
50,1
51,1
52,1
53,3
54,0
55,1
56,0
57,4
58,1
59,2
60,0
61,0
62,2
63,1
64,4
65,3
66,2
67,1
68,1
69,0
70,2
71,3
72,2
73,6
74,3
75,2
76,0
77,0
78,1
79,0
80,0
81,2
82,8
83,3
84,12
85,6
86,12
87,7
88,5
89,6
90,3
91,16
92,2
93,6
94,6
95,5
96,11
97,1
98,14
99,18
100,11
101,16
102,13
103,7
104,3
105,0
106,17
107,11
108,17
109,4
110,12
111,7
112,1
113,6
114,11
115,11
116,17
117,1
118,1
119,0
120,7
121,1
122,1
123,1
124,8
125,9
126,9
127,8
128,26
129,12
130,7
131,9
132,10
133,28
134,6
135,11
136,20
137,22
138,21
139,22
140,21
141,11
142,26
143,24
144,14
145,18
146,17
147,19
148,20
149,14
150,22
151,15
152,11
153,14
154,18
155,13
156,12
157,15
158,17
159,11
160,14
161,13
162,23
163,11
164,24
165,22
166,21
167,17
168,19
169,16
170,8
171,31
172,17
173,14
174,9
175,9
176,26
177,11
178,17
179,19
180,18
181,21
182,17
183,9
184,22
185,15
186,17
187,17
188,10
189,7
190,17
191,12
192,6
193,18
194,13
195,15
196,17
197,20
198,5
199,15
200,9
