game,score
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,2
41,2
42,2
43,0
44,1
45,0
46,1
47,1
48,0
49,2
50,0
51,0
52,1
53,3
54,1
55,4
56,0
57,0
58,1
59,1
60,0
61,0
62,2
63,0
64,1
65,4
66,2
67,2
68,2
69,0
70,2
71,5
72,4
73,8
74,0
75,7
76,1
77,14
78,10
79,0
80,0
81,3
82,2
83,0
84,2
85,22
86,9
87,5
88,14
89,13
90,15
91,17
92,6
93,9
94,12
95,5
96,0
97,8
98,0
99,0
100,13
101,12
102,14
103,19
104,18
105,11
106,9
107,7
108,17
109,18
110,12
111,18
112,13
113,20
114,17
115,12
116,34
117,14
118,22
119,25
120,11
121,15
122,9
123,15
124,8
125,28
126,7
127,14
128,7
129,20
130,11
131,12
132,21
133,12
134,22
135,5
136,32
137,8
138,23
139,7
140,20
141,14
142,25
143,20
144,18
145,20
146,12
147,9
148,24
149,7
150,12
151,20
152,10
153,20
154,15
155,16
156,23
157,16
158,35
159,24
160,11
161,12
162,13
163,9
164,25
165,26
166,18
167,20
168,16
169,21
170,18
171,11
172,15
173,10
174,12
175,21
176,14
177,17
178,18
179,14
180,22
181,12
182,10
183,14
184,8
185,12
186,9
187,15
188,13
189,7
190,15
191,28
192,16
193,21
194,20
195,17
196,22
197,14
198,12
199,5
200,15
