game,score
1,0
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,2
31,1
32,0
33,0
34,1
35,3
36,1
37,0
38,0
39,0
40,1
41,0
42,3
43,0
44,0
45,1
46,1
47,1
48,2
49,1
50,0
51,1
52,1
53,2
54,1
55,5
56,0
57,2
58,1
59,3
60,3
61,0
62,1
63,0
64,3
65,0
66,2
67,4
68,2
69,2
70,0
71,6
72,0
73,4
74,3
75,12
76,1
77,6
78,1
79,5
80,17
81,15
82,15
83,26
84,5
85,11
86,9
87,12
88,7
89,23
90,19
91,17
92,11
93,17
94,9
95,25
96,25
97,22
98,21
99,14
100,19
101,18
102,22
103,18
104,14
105,13
106,19
107,11
108,19
109,12
110,13
111,19
112,12
113,14
114,16
115,9
116,15
117,19
118,20
119,21
120,12
121,26
122,8
123,15
124,22
125,15
126,10
127,19
128,16
129,6
130,12
131,15
132,17
133,21
134,11
135,26
136,15
137,18
138,18
139,15
140,19
141,22
142,14
143,20
144,14
145,22
146,13
147,15
148,14
149,10
150,19
151,20
152,17
153,31
154,23
155,15
156,14
157,13
158,7
159,35
160,22
161,31
162,11
163,13
164,21
165,16
166,11
167,22
168,20
169,31
170,22
171,23
172,14
173,17
174,24
175,29
176,9
177,15
178,30
179,19
180,20
181,22
182,7
183,16
184,17
185,24
186,12
187,20
188,18
189,11
190,12
191,23
192,26
193,24
194,12
195,12
196,4
197,12
198,19
199,22
200,13
