game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,2
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,2
57,1
58,2
59,2
60,3
61,1
62,1
63,4
64,1
65,1
66,3
67,2
68,0
69,1
70,0
71,1
72,0
73,0
74,5
75,2
76,4
77,5
78,12
79,20
80,18
81,15
82,17
83,20
84,10
85,18
86,11
87,32
88,12
89,8
90,11
91,8
92,20
93,22
94,27
95,22
96,11
97,10
98,11
99,24
100,7
101,18
102,15
103,27
104,16
105,29
106,8
107,16
108,22
109,15
110,7
111,21
112,18
113,12
114,14
115,26
116,16
117,20
118,21
119,13
120,20
121,25
122,11
123,6
124,17
125,10
126,15
127,13
128,25
129,17
130,16
131,17
132,17
133,21
134,20
135,8
136,13
137,22
138,19
139,14
140,27
141,36
142,12
143,9
144,18
145,19
146,15
147,16
148,12
149,15
150,11
151,28
152,7
153,23
154,19
155,15
156,11
157,9
158,8
159,19
160,11
161,15
162,19
163,18
164,19
165,14
166,13
167,7
168,12
169,21
170,20
171,23
172,9
173,15
174,30
175,16
176,5
177,18
178,14
179,23
180,16
181,10
182,23
183,15
184,17
185,8
186,24
187,12
188,23
189,18
190,15
191,11
192,17
193,7
194,12
195,16
196,22
197,15
198,12
199,9
200,15
