game,score
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,3
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,5
79,1
80,4
81,4
82,6
83,1
84,2
85,0
86,2
87,0
88,0
89,1
90,5
91,5
92,0
93,0
94,4
95,0
96,0
97,4
98,1
99,3
100,2
101,1
102,0
103,4
104,0
105,0
106,6
107,0
108,0
109,3
110,0
111,1
112,1
113,1
114,4
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,3
123,2
124,0
125,1
126,2
127,0
128,0
129,0
130,0
131,1
132,2
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,4
141,1
142,1
143,0
144,2
145,0
146,2
147,4
148,1
149,0
150,2
151,0
152,1
153,0
154,0
155,0
156,2
157,2
158,0
159,1
160,0
161,0
162,3
163,1
164,0
165,0
166,2
167,2
168,3
169,0
170,0
171,2
172,0
173,0
174,1
175,2
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,3
184,0
185,2
186,0
187,0
188,0
189,4
190,2
191,2
192,1
193,2
194,2
195,0
196,0
197,0
198,0
199,0
200,1
