game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,2
80,0
81,3
82,0
83,2
84,1
85,0
86,1
87,0
88,1
89,4
90,0
91,2
92,0
93,0
94,0
95,2
96,0
97,0
98,2
99,4
100,0
101,0
102,0
103,3
104,0
105,1
106,0
107,5
108,0
109,0
110,0
111,1
112,2
113,0
114,0
115,0
116,1
117,1
118,0
119,4
120,1
121,0
122,1
123,0
124,0
125,0
126,4
127,1
128,3
129,5
130,4
131,5
132,5
133,0
134,0
135,3
136,0
137,3
138,0
139,0
140,3
141,0
142,9
143,1
144,7
145,7
146,4
147,0
148,1
149,3
150,0
151,1
152,0
153,0
154,2
155,2
156,2
157,0
158,0
159,6
160,3
161,1
162,14
163,7
164,5
165,3
166,1
167,1
168,0
169,16
170,12
171,1
172,2
173,3
174,1
175,9
176,0
177,4
178,9
179,7
180,0
181,0
182,0
183,4
184,5
185,1
186,12
187,6
188,11
189,1
190,0
191,2
192,3
193,4
194,7
195,4
196,0
197,0
198,1
199,12
200,25
