game,score
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,2
28,1
29,1
30,0
31,1
32,0
33,1
34,2
35,0
36,0
37,0
38,1
39,3
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,4
53,1
54,1
55,1
56,3
57,2
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,3
66,1
67,0
68,1
69,2
70,0
71,0
72,1
73,1
74,1
75,0
76,2
77,0
78,1
79,1
80,1
81,3
82,0
83,0
84,2
85,1
86,3
87,0
88,2
89,0
90,0
91,0
92,0
93,2
94,0
95,0
96,4
97,3
98,1
99,0
100,1
101,2
102,1
103,0
104,0
105,1
106,0
107,0
108,3
109,0
110,1
111,1
112,0
113,0
114,2
115,0
116,1
117,1
118,5
119,1
120,1
121,1
122,3
123,3
124,0
125,3
126,1
127,3
128,1
129,0
130,0
131,0
132,0
133,3
134,0
135,1
136,2
137,3
138,2
139,3
140,3
141,0
142,0
143,2
144,3
145,1
146,5
147,0
148,3
149,3
150,1
151,0
152,5
153,2
154,0
155,2
156,1
157,2
158,3
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,3
167,1
168,0
169,6
170,0
171,0
172,1
173,3
174,1
175,2
176,0
177,0
178,5
179,3
180,1
181,0
182,5
183,0
184,1
185,0
186,0
187,0
188,1
189,3
190,1
191,2
192,0
193,1
194,0
195,1
196,1
197,0
198,2
199,2
200,0
