game,score
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,2
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,2
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,3
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,2
92,3
93,2
94,0
95,0
96,2
97,1
98,0
99,2
100,1
101,0
102,1
103,3
104,1
105,0
106,1
107,2
108,0
109,2
110,0
111,0
112,0
113,3
114,0
115,0
116,0
117,0
118,0
119,0
120,2
121,0
122,4
123,0
124,0
125,1
126,1
127,2
128,1
129,5
130,0
131,3
132,3
133,0
134,1
135,7
136,1
137,2
138,0
139,3
140,1
141,3
142,3
143,1
144,3
145,0
146,7
147,1
148,0
149,1
150,0
151,0
152,2
153,0
154,8
155,5
156,0
157,5
158,3
159,0
160,4
161,2
162,7
163,3
164,1
165,16
166,4
167,5
168,8
169,0
170,0
171,2
172,13
173,4
174,1
175,0
176,0
177,4
178,3
179,0
180,4
181,0
182,0
183,1
184,0
185,0
186,1
187,4
188,6
189,0
190,6
191,11
192,2
193,2
194,2
195,0
196,0
197,0
198,1
199,0
200,1
