game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,5
71,0
72,0
73,3
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,2
83,3
84,0
85,3
86,0
87,0
88,0
89,1
90,0
91,5
92,1
93,2
94,2
95,0
96,5
97,1
98,4
99,0
100,5
101,10
102,0
103,0
104,2
105,3
106,0
107,0
108,0
109,2
110,3
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,3
124,7
125,1
126,7
127,1
128,0
129,1
130,4
131,13
132,4
133,5
134,0
135,4
136,0
137,4
138,1
139,2
140,8
141,7
142,3
143,10
144,0
145,14
146,6
147,3
148,2
149,13
150,4
151,3
152,16
153,8
154,1
155,17
156,6
157,15
158,7
159,1
160,15
161,12
162,13
163,20
164,16
165,8
166,17
167,8
168,5
169,8
170,0
171,2
172,2
173,0
174,26
175,13
176,6
177,16
178,9
179,0
180,10
181,8
182,13
183,1
184,3
185,0
186,0
187,4
188,1
189,8
190,2
191,1
192,1
193,0
194,12
195,1
196,1
197,1
198,1
199,6
200,4
