game,score
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,3
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,5
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,4
96,0
97,1
98,3
99,2
100,1
101,0
102,5
103,2
104,0
105,0
106,2
107,1
108,3
109,0
110,4
111,1
112,1
113,1
114,0
115,4
116,0
117,0
118,0
119,0
120,1
121,2
122,0
123,0
124,0
125,4
126,0
127,2
128,0
129,0
130,0
131,0
132,10
133,0
134,2
135,5
136,0
137,4
138,0
139,0
140,1
141,6
142,3
143,1
144,0
145,3
146,5
147,1
148,5
149,11
150,0
151,0
152,6
153,3
154,0
155,0
156,10
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,4
167,0
168,2
169,0
170,0
171,0
172,7
173,1
174,2
175,0
176,0
177,1
178,7
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,2
187,0
188,6
189,0
190,1
191,3
192,5
193,0
194,0
195,0
196,0
197,12
198,0
199,2
200,0
