game,score
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,2
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,2
48,1
49,0
50,1
51,0
52,0
53,4
54,3
55,4
56,3
57,1
58,0
59,5
60,1
61,1
62,0
63,0
64,6
65,2
66,0
67,2
68,0
69,3
70,0
71,0
72,3
73,2
74,1
75,2
76,2
77,0
78,0
79,2
80,2
81,1
82,1
83,2
84,1
85,3
86,3
87,2
88,2
89,0
90,8
91,12
92,13
93,15
94,6
95,10
96,9
97,15
98,12
99,4
100,0
101,11
102,11
103,7
104,22
105,5
106,9
107,13
108,16
109,19
110,5
111,9
112,24
113,17
114,8
115,14
116,23
117,6
118,14
119,20
120,16
121,10
122,13
123,11
124,21
125,16
126,19
127,13
128,12
129,14
130,19
131,16
132,11
133,22
134,15
135,21
136,23
137,15
138,17
139,7
140,11
141,18
142,16
143,12
144,12
145,16
146,14
147,20
148,19
149,10
150,16
151,13
152,18
153,21
154,28
155,24
156,12
157,17
158,22
159,14
160,16
161,11
162,7
163,17
164,21
165,9
166,10
167,18
168,23
169,15
170,27
171,15
172,18
173,15
174,33
175,23
176,25
177,21
178,25
179,9
180,28
181,20
182,15
183,13
184,17
185,13
186,15
187,16
188,10
189,19
190,11
191,25
192,28
193,29
194,22
195,18
196,19
197,13
198,17
199,14
200,10
