game,score
1,0
2,0
3,0
4,2
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,2
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,2
57,0
58,0
59,0
60,1
61,0
62,2
63,0
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,5
74,1
75,2
76,2
77,3
78,3
79,1
80,2
81,2
82,4
83,1
84,5
85,9
86,3
87,8
88,0
89,5
90,0
91,17
92,6
93,9
94,9
95,4
96,1
97,12
98,8
99,12
100,15
101,14
102,11
103,17
104,12
105,14
106,6
107,1
108,9
109,4
110,21
111,27
112,15
113,10
114,12
115,26
116,13
117,2
118,12
119,10
120,24
121,22
122,14
123,13
124,13
125,20
126,20
127,19
128,21
129,21
130,17
131,12
132,25
133,14
134,12
135,18
136,9
137,12
138,12
139,22
140,19
141,20
142,9
143,16
144,6
145,23
146,19
147,27
148,12
149,23
150,28
151,12
152,15
153,7
154,15
155,15
156,19
157,12
158,17
159,19
160,13
161,11
162,26
163,17
164,12
165,17
166,27
167,13
168,16
169,19
170,16
171,11
172,12
173,31
174,14
175,22
176,17
177,21
178,17
179,9
180,15
181,29
182,11
183,17
184,20
185,16
186,19
187,16
188,15
189,16
190,8
191,16
192,15
193,10
194,27
195,14
196,8
197,22
198,20
199,20
200,21
