game,score
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,3
16,2
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,2
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,2
60,4
61,0
62,2
63,0
64,1
65,0
66,3
67,2
68,3
69,5
70,1
71,0
72,1
73,2
74,4
75,0
76,2
77,1
78,0
79,0
80,5
81,2
82,1
83,0
84,2
85,2
86,0
87,3
88,0
89,0
90,0
91,1
92,18
93,17
94,13
95,17
96,10
97,1
98,10
99,1
100,2
101,17
102,6
103,14
104,2
105,13
106,14
107,2
108,9
109,6
110,1
111,22
112,20
113,20
114,23
115,11
116,9
117,10
118,14
119,25
120,15
121,14
122,16
123,16
124,13
125,7
126,13
127,7
128,0
129,8
130,15
131,13
132,18
133,17
134,11
135,7
136,7
137,14
138,13
139,13
140,17
141,18
142,16
143,18
144,7
145,9
146,27
147,9
148,13
149,23
150,32
151,2
152,13
153,12
154,19
155,14
156,5
157,13
158,16
159,8
160,30
161,8
162,17
163,11
164,9
165,10
166,16
167,9
168,12
169,12
170,14
171,10
172,13
173,14
174,11
175,17
176,8
177,13
178,20
179,24
180,12
181,11
182,25
183,13
184,20
185,13
186,22
187,20
188,24
189,17
190,18
191,15
192,20
193,21
194,16
195,23
196,13
197,29
198,15
199,21
200,23
