game,score
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,2
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,2
50,1
51,5
52,0
53,0
54,2
55,0
56,0
57,1
58,1
59,0
60,2
61,0
62,2
63,0
64,0
65,2
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,4
77,3
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,4
88,3
89,1
90,0
91,1
92,0
93,0
94,1
95,9
96,3
97,0
98,8
99,1
100,16
101,1
102,2
103,4
104,9
105,13
106,3
107,6
108,4
109,0
110,2
111,13
112,3
113,3
114,18
115,0
116,0
117,15
118,7
119,15
120,15
121,13
122,15
123,17
124,19
125,6
126,17
127,11
128,7
129,7
130,18
131,2
132,14
133,13
134,2
135,24
136,21
137,25
138,25
139,11
140,14
141,17
142,17
143,13
144,13
145,23
146,19
147,18
148,10
149,14
150,15
151,14
152,19
153,20
154,19
155,1
156,30
157,8
158,19
159,22
160,14
161,17
162,11
163,11
164,12
165,6
166,9
167,6
168,18
169,7
170,12
171,11
172,6
173,23
174,22
175,18
176,8
177,17
178,10
179,13
180,8
181,13
182,16
183,15
184,16
185,22
186,6
187,16
188,7
189,20
190,13
191,15
192,5
193,11
194,11
195,3
196,10
197,19
198,15
199,15
200,28
201,14
202,15
203,6
204,11
205,27
206,14
207,5
208,5
209,6
210,28
211,10
212,13
213,17
214,11
215,14
216,25
217,6
218,4
219,14
220,17
221,8
222,15
223,17
224,7
225,5
226,12
227,12
228,22
229,16
230,7
231,20
232,12
233,11
234,17
235,17
236,21
237,12
238,9
239,4
240,9
241,13
242,12
243,0
244,8
245,25
246,20
247,17
248,6
249,10
250,11
