game,score
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,2
18,1
19,0
20,0
21,2
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,2
48,1
49,2
50,0
51,3
52,3
53,1
54,3
55,1
56,0
57,1
58,2
59,2
60,6
61,1
62,1
63,1
64,0
65,4
66,2
67,8
68,4
69,1
70,7
71,7
72,7
73,0
74,10
75,5
76,2
77,18
78,9
79,12
80,0
81,9
82,13
83,18
84,19
85,17
86,19
87,12
88,24
89,13
90,15
91,3
92,11
93,11
94,23
95,20
96,11
97,14
98,18
99,5
100,17
101,24
102,32
103,15
104,7
105,17
106,6
107,22
108,11
109,12
110,12
111,23
112,19
113,5
114,1
115,8
116,23
117,11
118,5
119,15
120,13
121,12
122,13
123,8
124,1
125,9
126,5
127,11
128,23
129,15
130,21
131,9
132,11
133,7
134,13
135,17
136,4
137,21
138,9
139,24
140,22
141,21
142,16
143,21
144,12
145,9
146,12
147,9
148,3
149,11
150,21
151,15
152,20
153,16
154,15
155,19
156,10
157,12
158,5
159,17
160,13
161,12
162,8
163,7
164,11
165,11
166,10
167,5
168,6
169,19
170,10
171,15
172,17
173,12
174,19
175,14
176,15
177,31
178,3
179,13
180,11
181,4
182,14
183,15
184,16
185,9
186,5
187,15
188,16
189,13
190,9
191,6
192,2
193,19
194,10
195,1
196,9
197,7
198,12
199,0
200,15
201,13
202,37
203,17
204,5
205,9
206,9
207,18
208,7
209,7
210,10
211,15
212,2
213,21
214,15
215,22
216,22
217,11
218,17
219,15
220,12
221,33
222,5
223,17
224,16
225,7
226,7
227,7
228,25
229,13
230,9
231,7
232,22
233,14
234,14
235,11
236,25
237,9
238,16
239,21
240,10
241,5
242,18
243,7
244,11
245,15
246,14
247,24
248,11
249,13
250,12
