game,score
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,2
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,3
41,0
42,1
43,0
44,3
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,2
54,1
55,2
56,1
57,0
58,2
59,1
60,3
61,2
62,1
63,5
64,1
65,3
66,5
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,2
75,1
76,1
77,8
78,8
79,8
80,7
81,12
82,4
83,9
84,6
85,7
86,4
87,8
88,1
89,3
90,12
91,12
92,9
93,2
94,0
95,0
96,1
97,2
98,17
99,22
100,6
101,6
102,0
103,0
104,2
105,7
106,5
107,7
108,4
109,6
110,9
111,16
112,16
113,13
114,7
115,23
116,11
117,15
118,12
119,25
120,17
121,18
122,4
123,24
124,1
125,8
126,13
127,10
128,11
129,9
130,21
131,22
132,13
133,15
134,15
135,13
136,21
137,17
138,21
139,25
140,16
141,9
142,15
143,32
144,8
145,10
146,6
147,9
148,12
149,14
150,21
151,21
152,6
153,12
154,17
155,15
156,18
157,18
158,14
159,11
160,21
161,14
162,12
163,13
164,9
165,3
166,5
167,15
168,5
169,1
170,16
171,10
172,9
173,17
174,8
175,13
176,11
177,10
178,13
179,16
180,10
181,19
182,13
183,15
184,13
185,31
186,22
187,11
188,16
189,3
190,14
191,12
192,13
193,27
194,13
195,12
196,21
197,14
198,14
199,4
200,22
201,16
202,15
203,9
204,18
205,5
206,13
207,27
208,18
209,18
210,17
211,13
212,24
213,14
214,1
215,8
216,9
217,22
218,26
219,13
220,6
221,10
222,16
223,15
224,4
225,12
226,1
227,16
228,16
229,3
230,12
231,16
232,4
233,13
234,20
235,6
236,26
237,9
238,5
239,21
240,12
241,16
242,18
243,16
244,18
245,11
246,20
247,5
248,20
249,22
250,1
251,13
252,10
253,7
254,18
255,22
256,3
257,6
258,4
259,25
260,20
261,32
262,20
263,11
264,16
265,14
266,13
267,6
268,9
269,21
270,8
271,2
272,20
273,7
274,3
275,16
276,7
277,20
278,21
279,6
280,10
