game,score
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,2
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,2
35,1
36,4
37,2
38,0
39,3
40,2
41,2
42,2
43,2
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,2
55,0
56,0
57,0
58,0
59,2
60,2
61,0
62,1
63,0
64,3
65,4
66,2
67,2
68,2
69,2
70,2
71,1
72,15
73,5
74,5
75,3
76,14
77,4
78,1
79,7
80,4
81,1
82,3
83,6
84,15
85,14
86,12
87,16
88,13
89,0
90,7
91,20
92,11
93,10
94,12
95,10
96,7
97,1
98,4
99,10
100,15
101,9
102,14
103,5
104,18
105,17
106,9
107,10
108,17
109,23
110,19
111,15
112,16
113,12
114,7
115,12
116,5
117,9
118,14
119,14
120,17
121,5
122,19
123,15
124,17
125,21
126,15
127,12
128,2
129,8
130,15
131,4
132,7
133,14
134,16
135,14
136,13
137,9
138,21
139,10
140,8
141,13
142,15
143,21
144,8
145,10
146,9
147,16
148,17
149,17
150,2
151,9
152,22
153,2
154,7
155,9
156,13
157,17
158,22
159,17
160,1
161,1
162,11
163,7
164,17
165,3
166,16
167,9
168,17
169,21
170,10
171,10
172,16
173,14
174,19
175,23
176,17
177,1
178,20
179,2
180,14
181,2
182,31
183,3
184,8
185,6
186,13
187,11
188,12
189,20
190,19
191,8
192,24
193,19
194,7
195,10
196,14
197,26
198,19
199,23
200,27
201,14
202,18
203,19
204,9
205,7
206,27
207,18
208,5
209,25
210,7
211,23
212,15
213,5
214,18
215,13
216,23
217,8
218,29
219,10
220,1
221,12
222,11
223,11
224,8
225,17
226,11
227,23
228,9
229,22
230,5
231,11
232,11
233,5
234,13
235,10
236,10
237,6
238,3
239,21
240,10
241,24
242,15
243,8
244,14
245,16
246,2
247,5
248,10
249,21
250,20
251,16
252,16
253,12
254,18
255,6
256,19
257,13
258,15
259,18
260,20
261,13
262,13
263,17
264,2
265,25
266,0
267,15
268,11
269,15
270,1
271,1
272,14
273,16
274,14
275,8
276,6
277,20
278,5
279,14
280,19
