game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,0
16,1
17,2
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,4
36,1
37,1
38,2
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,3
49,1
50,0
51,3
52,1
53,1
54,0
55,4
56,2
57,2
58,5
59,3
60,9
61,1
62,5
63,5
64,1
65,1
66,2
67,11
68,11
69,0
70,10
71,8
72,5
73,5
74,2
75,4
76,7
77,11
78,17
79,20
80,12
81,15
82,1
83,23
84,25
85,9
86,6
87,6
88,21
89,24
90,28
91,13
92,15
93,13
94,5
95,17
96,5
97,20
98,20
99,20
100,11
101,19
102,2
103,8
104,15
105,30
106,19
107,17
108,2
109,15
110,10
111,14
112,10
113,4
114,9
115,18
116,17
117,9
118,14
119,21
120,1
121,27
122,4
123,11
124,16
125,11
126,3
127,11
128,17
129,1
130,19
131,12
132,11
133,17
134,12
135,4
136,15
137,21
138,8
139,8
140,7
141,22
142,13
143,12
144,25
145,6
146,19
147,4
148,4
149,19
150,19
151,22
152,11
153,22
154,1
155,24
156,22
157,2
158,23
159,14
160,12
161,11
162,18
163,13
164,4
165,6
166,14
167,21
168,16
169,8
170,19
171,3
172,6
173,4
174,7
175,8
176,21
177,16
178,8
179,13
180,23
181,10
182,15
183,17
184,7
185,29
186,4
187,5
188,1
189,5
190,11
191,11
192,27
193,9
194,11
195,13
196,11
197,10
198,13
199,19
200,19
201,18
202,3
203,12
204,11
205,10
206,23
207,18
208,14
209,14
210,11
211,11
212,13
213,28
214,22
215,16
216,5
217,2
218,11
219,1
220,10
221,5
222,14
223,18
224,10
225,1
226,2
227,11
228,27
229,11
230,15
231,8
232,21
233,13
234,4
235,16
236,18
237,8
238,23
239,20
240,11
241,3
242,25
243,17
244,15
245,11
246,10
247,15
248,17
249,1
250,14
251,23
252,13
253,25
254,22
255,15
256,15
257,19
258,17
259,22
260,8
261,9
262,12
263,30
264,18
265,6
266,12
267,16
268,9
269,17
270,12
271,11
272,7
273,11
274,5
275,15
276,1
277,16
278,19
279,3
280,9
