game,score
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,2
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,2
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,2
93,1
94,1
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,3
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,3
116,2
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,0
125,4
126,1
127,4
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,3
136,2
137,2
138,4
139,4
140,1
141,3
142,1
143,0
144,1
145,1
146,5
147,1
148,4
149,0
150,3
151,2
152,0
153,1
154,1
155,5
156,3
157,0
158,2
159,2
160,4
161,3
162,2
163,0
164,3
165,0
166,1
167,1
168,0
169,2
170,5
171,0
172,3
173,3
174,4
175,5
176,15
177,1
178,9
179,4
180,4
181,2
182,1
183,1
184,1
185,4
186,3
187,8
188,3
189,10
190,3
191,1
192,1
193,2
194,2
195,3
196,4
197,1
198,5
199,0
200,7
201,1
202,1
203,3
204,5
205,1
206,7
207,8
208,6
209,5
210,1
211,4
212,1
213,2
214,6
215,3
216,18
217,2
218,14
219,1
220,2
221,1
222,16
223,1
224,5
225,4
226,4
227,7
228,6
229,5
230,20
231,3
232,0
233,1
234,5
235,1
236,0
237,2
238,4
239,2
240,1
241,5
242,10
243,12
244,7
245,3
246,1
247,3
248,4
249,2
250,10
251,9
252,19
253,1
254,14
255,12
256,22
257,1
258,10
259,13
260,12
261,7
262,12
263,16
264,0
265,4
266,4
267,6
268,11
269,7
270,8
271,10
272,9
273,4
274,11
275,8
276,8
277,17
278,4
279,3
280,17
