game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,2
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,2
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,2
48,0
49,2
50,0
51,1
52,4
53,1
54,3
55,2
56,0
57,2
58,1
59,0
60,0
61,2
62,2
63,1
64,2
65,0
66,2
67,0
68,5
69,0
70,1
71,5
72,0
73,0
74,0
75,1
76,1
77,5
78,0
79,4
80,3
81,6
82,0
83,6
84,3
85,0
86,6
87,3
88,2
89,0
90,0
91,0
92,0
93,0
94,15
95,0
96,8
97,1
98,1
99,0
100,0
101,7
102,18
103,12
104,9
105,20
106,12
107,11
108,12
109,1
110,8
111,8
112,7
113,3
114,1
115,4
116,11
117,12
118,5
119,18
120,13
121,7
122,27
123,12
124,14
125,12
126,5
127,14
128,6
129,4
130,10
131,11
132,17
133,12
134,9
135,11
136,15
137,26
138,1
139,14
140,22
141,5
142,11
143,13
144,17
145,11
146,24
147,11
148,2
149,19
150,3
151,17
152,14
153,13
154,23
155,9
156,16
157,26
158,22
159,6
160,23
161,7
162,10
163,21
164,7
165,16
166,18
167,6
168,9
169,19
170,17
171,21
172,9
173,10
174,18
175,14
176,18
177,24
178,20
179,7
180,36
181,15
182,18
183,13
184,20
185,6
186,14
187,15
188,18
189,14
190,11
191,15
192,20
193,18
194,24
195,22
196,22
197,13
198,17
199,22
200,14
201,25
202,13
203,15
204,24
205,14
206,8
207,14
208,2
209,15
210,10
211,27
212,1
213,22
214,5
215,9
216,12
217,8
218,19
219,11
220,6
221,4
222,8
223,11
224,19
225,0
226,16
227,10
228,13
229,15
230,2
231,15
232,28
233,16
234,6
235,2
236,23
237,19
238,10
239,9
240,8
241,3
242,7
243,10
244,16
245,15
246,4
247,8
248,13
249,16
250,26
251,3
252,2
253,13
254,25
255,10
256,12
257,16
258,19
259,20
260,2
261,21
262,9
263,9
264,14
265,13
266,8
267,8
268,7
269,19
270,13
271,7
272,10
273,14
274,6
275,3
276,9
277,11
278,12
279,14
280,9
281,13
282,22
283,12
284,16
285,20
286,10
287,21
288,16
289,4
290,3
291,9
292,12
293,14
294,22
295,1
296,7
297,17
298,11
299,4
300,9
301,18
302,16
303,10
304,15
305,8
306,16
307,12
308,14
309,15
310,16
311,0
312,18
313,9
314,5
315,15
316,10
317,6
318,12
319,27
320,8
321,5
322,15
323,5
324,11
325,20
326,9
327,16
328,22
329,11
330,8
331,15
332,14
333,9
334,19
335,22
336,0
337,14
338,16
339,22
340,13
341,10
342,12
343,8
344,11
345,22
346,14
347,13
348,13
349,12
350,7
351,22
352,11
353,9
354,11
355,23
356,14
357,5
358,17
359,10
360,13
361,13
362,11
363,12
364,13
365,13
366,7
367,11
368,11
369,13
370,24
371,28
372,3
373,19
374,15
375,17
376,7
377,4
378,7
379,13
380,1
381,17
382,23
383,11
384,11
385,17
386,6
387,20
388,14
389,6
390,16
391,23
392,22
393,16
394,18
395,13
396,14
397,8
398,19
399,14
400,9
401,9
402,10
403,19
404,0
405,12
406,15
407,4
408,17
409,10
410,3
411,11
412,7
413,20
414,3
415,19
416,20
417,22
418,15
419,29
420,18
421,21
422,17
423,12
424,4
425,7
426,5
427,10
428,9
429,13
430,22
431,8
432,13
433,17
434,24
435,8
436,10
437,21
438,17
439,24
440,15
441,16
442,5
443,8
444,14
445,14
446,6
447,8
448,20
449,14
450,14
451,18
452,17
453,22
454,18
455,15
456,21
457,1
458,6
459,9
460,22
461,21
462,9
463,11
464,11
465,10
466,18
467,9
468,7
469,27
470,14
471,15
472,18
473,14
474,10
475,6
476,12
477,10
478,5
479,7
480,13
481,7
482,7
483,9
484,5
485,16
486,9
487,16
488,20
489,18
490,7
491,12
492,19
493,15
494,4
495,9
496,14
497,19
498,12
499,16
500,12
