game,score
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,3
40,2
41,2
42,0
43,0
44,0
45,2
46,0
47,0
48,0
49,0
50,2
51,0
52,0
53,1
54,1
55,0
56,2
57,2
58,0
59,0
60,0
61,0
62,2
63,5
64,3
65,0
66,0
67,0
68,1
69,0
70,0
71,6
72,1
73,0
74,2
75,1
76,0
77,1
78,1
79,5
80,4
81,4
82,4
83,1
84,0
85,1
86,3
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,5
95,3
96,8
97,1
98,10
99,13
100,7
101,12
102,10
103,16
104,11
105,10
106,6
107,19
108,2
109,7
110,10
111,3
112,13
113,14
114,9
115,5
116,10
117,5
118,14
119,0
120,2
121,3
122,1
123,3
124,0
125,13
126,0
127,14
128,5
129,7
130,4
131,12
132,9
133,4
134,1
135,15
136,7
137,16
138,10
139,9
140,4
141,6
142,9
143,1
144,14
145,12
146,15
147,15
148,5
149,8
150,18
151,3
152,0
153,8
154,4
155,5
156,4
157,9
158,7
159,17
160,12
161,16
162,7
163,9
164,13
165,2
166,10
167,15
168,6
169,15
170,20
171,17
172,10
173,20
174,21
175,28
176,6
177,1
178,13
179,20
180,18
181,19
182,8
183,7
184,9
185,16
186,10
187,6
188,12
189,13
190,12
191,3
192,11
193,7
194,13
195,5
196,3
197,3
198,7
199,22
200,21
201,11
202,20
203,12
204,15
205,12
206,14
207,3
208,12
209,20
210,11
211,11
212,9
213,16
214,12
215,14
216,13
217,19
218,4
219,16
220,11
221,4
222,16
223,10
224,17
225,9
226,8
227,8
228,23
229,10
230,10
231,21
232,1
233,22
234,13
235,21
236,19
237,6
238,12
239,28
240,10
241,19
242,23
243,14
244,4
245,11
246,17
247,13
248,1
249,17
250,13
251,12
252,12
253,10
254,23
255,6
256,12
257,5
258,13
259,6
260,8
261,10
262,7
263,23
264,12
265,5
266,23
267,12
268,4
269,8
270,13
271,9
272,0
273,25
274,4
275,11
276,16
277,16
278,2
279,24
280,24
281,15
282,21
283,4
284,13
285,17
286,9
287,8
288,19
289,16
290,20
291,16
292,17
293,20
294,17
295,1
296,10
297,8
298,17
299,13
300,9
301,3
302,11
303,14
304,21
305,8
306,9
307,22
308,22
309,13
310,20
311,14
312,10
313,6
314,21
315,4
316,5
317,14
318,11
319,7
320,14
321,5
322,13
323,6
324,12
325,14
326,32
327,18
328,16
329,19
330,16
331,14
332,11
333,19
334,9
335,17
336,13
337,19
338,9
339,19
340,8
341,7
342,4
343,24
344,27
345,17
346,14
347,12
348,28
349,19
350,9
351,15
352,17
353,7
354,5
355,13
356,13
357,7
358,1
359,14
360,17
361,16
362,11
363,2
364,8
365,19
366,13
367,20
368,16
369,12
370,22
371,7
372,11
373,4
374,18
375,11
376,18
377,21
378,4
379,8
380,8
381,2
382,30
383,23
384,3
385,8
386,30
387,9
388,4
389,8
390,6
391,12
392,13
393,10
394,24
395,22
396,23
397,8
398,10
399,14
400,18
401,6
402,9
403,17
404,11
405,1
406,12
407,18
408,28
409,6
410,20
411,11
412,16
413,1
414,16
415,20
416,15
417,14
418,21
419,26
420,20
421,26
422,7
423,11
424,10
425,19
426,21
427,11
428,6
429,21
430,23
431,12
432,14
433,12
434,14
435,11
436,17
437,8
438,19
439,24
440,15
441,10
442,18
443,17
444,12
445,9
446,22
447,3
448,6
449,14
450,11
451,17
452,15
453,9
454,15
455,13
456,16
457,9
458,11
459,13
460,8
461,12
462,7
463,11
464,14
465,12
466,18
467,24
468,25
469,6
470,11
471,17
472,20
473,18
474,4
475,13
476,18
477,8
478,17
479,15
480,29
481,21
482,9
483,15
484,9
485,8
486,11
487,15
488,8
489,25
490,23
491,19
492,8
493,14
494,1
495,1
496,16
497,13
498,5
499,12
500,17
