game,score
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,2
17,1
18,1
19,0
20,0
21,2
22,0
23,2
24,2
25,0
26,1
27,1
28,0
29,3
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,2
39,0
40,2
41,1
42,2
43,2
44,3
45,1
46,0
47,2
48,0
49,2
50,1
51,1
52,4
53,2
54,4
55,0
56,5
57,3
58,1
59,2
60,3
61,1
62,5
63,2
64,1
65,4
66,2
67,3
68,5
69,3
70,0
71,6
72,7
73,0
74,4
75,12
76,9
77,3
78,1
79,15
80,7
81,2
82,2
83,1
84,2
85,3
86,0
87,2
88,1
89,2
90,0
91,4
92,11
93,4
94,10
95,3
96,4
97,11
98,0
99,1
100,1
101,3
102,13
103,0
104,11
105,13
106,6
107,2
108,18
109,16
110,13
111,13
112,3
113,3
114,5
115,13
116,1
117,10
118,7
119,2
120,13
121,6
122,20
123,10
124,21
125,19
126,14
127,16
128,19
129,12
130,17
131,13
132,2
133,14
134,18
135,16
136,11
137,14
138,20
139,20
140,7
141,12
142,18
143,10
144,12
145,7
146,17
147,28
148,15
149,18
150,9
151,4
152,16
153,15
154,9
155,5
156,11
157,10
158,16
159,11
160,13
161,10
162,17
163,15
164,10
165,6
166,4
167,13
168,1
169,9
170,14
171,15
172,13
173,2
174,9
175,19
176,32
177,11
178,12
179,12
180,5
181,19
182,22
183,19
184,18
185,9
186,15
187,2
188,11
189,8
190,6
191,0
192,18
193,7
194,8
195,15
196,14
197,5
198,15
199,11
200,17
201,8
202,9
203,11
204,7
205,21
206,5
207,23
208,13
209,11
210,13
211,9
212,9
213,21
214,13
215,12
216,9
217,15
218,12
219,12
220,18
221,23
222,14
223,4
224,9
225,15
226,11
227,5
228,10
229,11
230,13
231,24
232,5
233,1
234,19
235,23
236,18
237,5
238,9
239,15
240,12
241,14
242,11
243,11
244,27
245,9
246,1
247,11
248,0
249,24
250,5
251,18
252,26
253,18
254,14
255,12
256,14
257,16
258,15
259,10
260,12
261,13
262,9
263,10
264,18
265,10
266,18
267,25
268,7
269,7
270,15
271,11
272,12
273,1
274,17
275,6
276,11
277,7
278,16
279,4
280,15
281,6
282,11
283,17
284,18
285,20
286,5
287,18
288,19
289,7
290,4
291,22
292,20
293,6
294,15
295,17
296,10
297,22
298,18
299,13
300,12
301,20
302,11
303,10
304,14
305,16
306,8
307,19
308,12
309,2
310,11
311,11
312,6
313,16
314,17
315,16
316,8
317,12
318,12
319,10
320,6
321,3
322,10
323,12
324,3
325,3
326,3
327,13
328,12
329,15
330,13
331,7
332,18
333,14
334,16
335,5
336,13
337,4
338,7
339,12
340,10
341,13
342,21
343,11
344,5
345,5
346,10
347,8
348,20
349,1
350,9
351,12
352,3
353,18
354,7
355,10
356,3
357,15
358,18
359,14
360,14
361,12
362,8
363,18
364,19
365,18
366,14
367,3
368,3
369,14
370,13
371,24
372,15
373,14
374,13
375,9
376,8
377,8
378,11
379,10
380,14
381,20
382,21
383,6
384,14
385,13
386,12
387,15
388,8
389,5
390,17
391,15
392,15
393,14
394,18
395,2
396,13
397,17
398,32
399,7
400,16
401,17
402,25
403,12
404,12
405,14
406,20
407,11
408,21
409,21
410,21
411,20
412,6
413,6
414,10
415,17
416,10
417,8
418,12
419,7
420,2
421,17
422,7
423,16
424,21
425,15
426,15
427,11
428,12
429,18
430,2
431,15
432,6
433,20
434,10
435,12
436,14
437,11
438,19
439,18
440,26
441,20
442,16
443,7
444,8
445,12
446,23
447,7
448,8
449,18
450,22
451,18
452,7
453,11
454,13
455,23
456,8
457,19
458,19
459,19
460,11
461,14
462,3
463,17
464,5
465,20
466,14
467,7
468,4
469,26
470,17
471,15
472,20
473,4
474,9
475,8
476,8
477,11
478,16
479,18
480,7
481,7
482,8
483,5
484,8
485,7
486,13
487,9
488,5
489,30
490,13
491,11
492,11
493,0
494,12
495,10
496,9
497,17
498,9
499,11
500,11
