game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,2
41,0
42,0
43,3
44,1
45,3
46,3
47,2
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,2
60,3
61,2
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,3
79,2
80,2
81,0
82,0
83,0
84,3
85,1
86,2
87,4
88,4
89,5
90,0
91,0
92,2
93,1
94,2
95,8
96,11
97,3
98,3
99,1
100,0
101,0
102,3
103,2
104,0
105,2
106,3
107,4
108,2
109,11
110,5
111,9
112,2
113,4
114,6
115,9
116,8
117,2
118,11
119,8
120,1
121,0
122,6
123,9
124,4
125,13
126,14
127,16
128,1
129,0
130,0
131,8
132,7
133,7
134,1
135,6
136,8
137,14
138,7
139,21
140,2
141,0
142,15
143,2
144,10
145,7
146,27
147,7
148,17
149,17
150,13
151,10
152,5
153,11
154,9
155,2
156,3
157,13
158,13
159,8
160,10
161,21
162,11
163,14
164,11
165,11
166,19
167,7
168,19
169,14
170,12
171,13
172,18
173,14
174,25
175,18
176,16
177,6
178,8
179,2
180,24
181,3
182,7
183,9
184,16
185,5
186,24
187,17
188,14
189,16
190,7
191,11
192,15
193,10
194,9
195,16
196,11
197,13
198,10
199,12
200,4
201,13
202,10
203,18
204,21
205,12
206,21
207,16
208,14
209,11
210,9
211,19
212,22
213,1
214,3
215,19
216,6
217,10
218,18
219,10
220,25
221,12
222,12
223,12
224,17
225,10
226,7
227,14
228,17
229,17
230,17
231,1
232,16
233,11
234,4
235,17
236,17
237,23
238,14
239,10
240,2
241,15
242,10
243,16
244,11
245,18
246,3
247,8
248,17
249,8
250,9
251,15
252,4
253,27
254,15
255,9
256,9
257,8
258,14
259,8
260,10
261,6
262,23
263,10
264,17
265,1
266,14
267,12
268,15
269,11
270,3
271,17
272,10
273,19
274,15
275,18
276,22
277,21
278,13
279,14
280,3
281,11
282,16
283,11
284,11
285,15
286,15
287,11
288,23
289,10
290,6
291,11
292,19
293,19
294,7
295,22
296,12
297,8
298,18
299,17
300,16
301,7
302,18
303,5
304,12
305,24
306,14
307,16
308,2
309,11
310,16
311,16
312,16
313,6
314,20
315,13
316,21
317,11
318,16
319,1
320,16
321,28
322,8
323,18
324,17
325,9
326,19
327,18
328,8
329,11
330,23
331,13
332,13
333,17
334,19
335,19
336,17
337,4
338,14
339,20
340,13
341,11
342,21
343,14
344,7
345,6
346,22
347,12
348,7
349,9
350,15
351,22
352,6
353,14
354,12
355,18
356,13
357,16
358,7
359,1
360,11
361,10
362,15
363,13
364,10
365,19
366,20
367,3
368,14
369,33
370,21
371,11
372,11
373,7
374,18
375,5
376,15
377,12
378,11
379,20
380,10
381,23
382,13
383,8
384,9
385,16
386,2
387,3
388,14
389,10
390,10
391,21
392,9
393,11
394,9
395,11
396,17
397,9
398,6
399,16
400,9
401,18
402,15
403,13
404,10
405,16
406,9
407,8
408,24
409,17
410,23
411,7
412,10
413,18
414,18
415,20
416,13
417,11
418,6
419,16
420,9
421,18
422,1
423,2
424,13
425,25
426,15
427,18
428,25
429,12
430,22
431,14
432,1
433,3
434,17
435,19
436,12
437,12
438,10
439,2
440,1
441,14
442,7
443,25
444,11
445,24
446,16
447,7
448,1
449,18
450,18
451,20
452,14
453,19
454,11
455,11
456,9
457,4
458,10
459,13
460,2
461,7
462,14
463,11
464,8
465,5
466,10
467,0
468,9
469,8
470,15
471,1
472,26
473,11
474,15
475,11
476,11
477,2
478,14
479,24
480,17
481,22
482,5
483,9
484,9
485,19
486,21
487,13
488,23
489,9
490,13
491,9
492,11
493,5
494,13
495,8
496,7
497,8
498,12
499,17
500,16
