game,score
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,2
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,2
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,1
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,2
71,1
72,0
73,0
74,1
75,1
76,3
77,1
78,2
79,1
80,1
81,0
82,3
83,1
84,0
85,0
86,0
87,0
88,0
89,2
90,0
91,3
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,3
101,0
102,0
103,1
104,1
105,1
106,4
107,2
108,3
109,6
110,0
111,0
112,1
113,1
114,1
115,1
116,2
117,0
118,0
119,1
120,0
121,4
122,1
123,1
124,1
125,0
126,4
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,5
138,2
139,3
140,5
141,1
142,1
143,8
144,2
145,4
146,9
147,13
148,3
149,4
150,4
151,10
152,5
153,4
154,5
155,4
156,7
157,0
158,6
159,7
160,5
161,0
162,1
163,2
164,1
165,4
166,0
167,4
168,8
169,6
170,5
171,9
172,2
173,3
174,5
175,6
176,1
177,6
178,1
179,4
180,1
181,2
182,9
183,6
184,11
185,10
186,5
187,1
188,5
189,1
190,5
191,10
192,2
193,8
194,11
195,10
196,3
197,2
198,5
199,2
200,8
201,3
202,8
203,8
204,10
205,4
206,3
207,12
208,7
209,4
210,2
211,10
212,1
213,8
214,10
215,10
216,7
217,10
218,2
219,2
220,7
221,12
222,7
223,6
224,12
225,5
226,1
227,9
228,20
229,0
230,13
231,4
232,2
233,9
234,7
235,20
236,8
237,10
238,8
239,8
240,5
241,10
242,7
243,14
244,11
245,8
246,12
247,7
248,1
249,1
250,9
251,3
252,11
253,7
254,6
255,5
256,6
257,14
258,13
259,10
260,1
261,5
262,5
263,13
264,2
265,10
266,10
267,9
268,15
269,12
270,9
271,3
272,8
273,22
274,3
275,8
276,5
277,6
278,7
279,5
280,6
281,12
282,6
283,5
284,7
285,21
286,13
287,10
288,10
289,8
290,7
291,16
292,4
293,10
294,15
295,11
296,6
297,10
298,5
299,13
300,7
301,9
302,12
303,8
304,18
305,4
306,12
307,14
308,1
309,9
310,4
311,5
312,10
313,15
314,1
315,4
316,12
317,12
318,20
319,6
320,14
321,15
322,20
323,7
324,9
325,1
326,8
327,2
328,11
329,4
330,6
331,2
332,16
333,14
334,21
335,15
336,5
337,17
338,13
339,18
340,16
341,13
342,11
343,13
344,7
345,8
346,7
347,8
348,4
349,1
350,4
351,3
352,13
353,10
354,8
355,17
356,17
357,2
358,4
359,6
360,13
361,19
362,1
363,19
364,16
365,15
366,15
367,4
368,14
369,14
370,2
371,12
372,8
373,11
374,3
375,4
376,2
377,9
378,10
379,2
380,4
381,12
382,14
383,5
384,0
385,19
386,5
387,2
388,9
389,13
390,9
391,18
392,12
393,7
394,17
395,4
396,9
397,18
398,12
399,6
400,12
401,10
402,5
403,8
404,10
405,14
406,10
407,19
408,1
409,1
410,11
411,11
412,5
413,12
414,14
415,16
416,23
417,21
418,11
419,13
420,11
421,20
422,15
423,3
424,11
425,5
426,12
427,19
428,4
429,3
430,17
431,0
432,13
433,4
434,16
435,10
436,5
437,9
438,12
439,3
440,9
441,8
442,3
443,14
444,22
445,13
446,13
447,14
448,1
449,14
450,9
451,2
452,23
453,10
454,4
455,11
456,13
457,9
458,2
459,10
460,11
461,3
462,14
463,9
464,16
465,13
466,13
467,12
468,1
469,2
470,15
471,9
472,15
473,5
474,13
475,9
476,17
477,19
478,12
479,9
480,7
481,13
482,15
483,15
484,15
485,14
486,8
487,22
488,10
489,11
490,10
491,5
492,10
493,4
494,11
495,10
496,5
497,11
498,4
499,9
500,8
