game,score
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,2
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,2
54,2
55,1
56,0
57,3
58,0
59,2
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,3
71,0
72,1
73,0
74,2
75,0
76,0
77,0
78,0
79,3
80,0
81,5
82,0
83,0
84,3
85,0
86,1
87,0
88,3
89,1
90,0
91,0
92,0
93,1
94,0
95,2
96,0
97,8
98,4
99,1
100,1
101,1
102,2
103,2
104,7
105,5
106,5
107,8
108,8
109,5
110,3
111,2
112,4
113,2
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,3
123,0
124,3
125,0
126,4
127,0
128,3
129,4
130,3
131,0
132,1
133,2
134,0
135,1
136,3
137,2
138,13
139,0
140,0
141,0
142,7
143,4
144,0
145,3
146,4
147,3
148,4
149,1
150,1
151,0
152,8
153,3
154,1
155,3
156,3
157,1
158,0
159,1
160,3
161,0
162,7
163,5
164,5
165,0
166,0
167,3
168,2
169,0
170,3
171,6
172,9
173,10
174,6
175,2
176,5
177,7
178,8
179,8
180,13
181,12
182,5
183,12
184,8
185,1
186,8
187,6
188,0
189,3
190,3
191,5
192,5
193,14
194,7
195,3
196,1
197,0
198,2
199,5
200,3
201,4
202,4
203,1
204,2
205,6
206,2
207,2
208,3
209,16
210,6
211,11
212,2
213,1
214,3
215,1
216,4
217,9
218,22
219,10
220,10
221,12
222,8
223,9
224,16
225,13
226,18
227,10
228,5
229,11
230,3
231,4
232,0
233,4
234,14
235,8
236,1
237,12
238,7
239,5
240,5
241,11
242,2
243,7
244,8
245,10
246,5
247,5
248,5
249,1
250,1
251,11
252,14
253,2
254,3
255,11
256,11
257,6
258,21
259,4
260,17
261,6
262,14
263,5
264,20
265,14
266,14
267,12
268,6
269,11
270,10
271,4
272,4
273,6
274,5
275,9
276,4
277,15
278,13
279,6
280,6
281,1
282,9
283,8
284,10
285,8
286,1
287,13
288,21
289,5
290,9
291,2
292,1
293,5
294,7
295,7
296,0
297,5
298,8
299,0
300,0
301,8
302,4
303,7
304,6
305,13
306,14
307,12
308,13
309,15
310,6
311,17
312,8
313,9
314,15
315,13
316,12
317,11
318,14
319,10
320,14
321,8
322,9
323,9
324,13
325,18
326,18
327,19
328,12
329,14
330,16
331,15
332,13
333,3
334,0
335,15
336,8
337,13
338,14
339,1
340,1
341,14
342,9
343,15
344,4
345,8
346,5
347,5
348,13
349,10
350,11
351,12
352,2
353,7
354,3
355,10
356,11
357,14
358,6
359,19
360,11
361,13
362,6
363,16
364,5
365,4
366,16
367,15
368,11
369,7
370,12
371,3
372,10
373,13
374,16
375,13
376,2
377,18
378,5
379,2
380,18
381,9
382,7
383,7
384,7
385,20
386,7
387,16
388,9
389,5
390,11
391,7
392,12
393,4
394,6
395,11
396,8
397,20
398,16
399,3
400,9
401,13
402,9
403,4
404,8
405,9
406,8
407,11
408,4
409,3
410,5
411,10
412,19
413,13
414,15
415,25
416,1
417,8
418,19
419,9
420,15
421,2
422,12
423,23
424,24
425,18
426,4
427,10
428,12
429,7
430,8
431,16
432,13
433,11
434,15
435,12
436,3
437,13
438,1
439,6
440,4
441,15
442,4
443,14
444,7
445,20
446,1
447,20
448,17
449,17
450,15
451,10
452,9
453,17
454,2
455,5
456,2
457,13
458,9
459,9
460,4
461,4
462,12
463,1
464,20
465,12
466,8
467,0
468,11
469,17
470,13
471,22
472,6
473,18
474,5
475,6
476,13
477,10
478,12
479,13
480,8
481,11
482,18
483,2
484,7
485,2
486,15
487,16
488,7
489,11
490,10
491,13
492,7
493,6
494,1
495,4
496,1
497,20
498,4
499,20
500,19
