game,score
1,0
2,0
3,0
4,1
5,0
6,2
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,2
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,2
48,0
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,5
64,1
65,1
66,1
67,0
68,1
69,4
70,2
71,0
72,2
73,4
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,3
83,1
84,0
85,1
86,3
87,3
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,7
97,4
98,2
99,1
100,0
101,0
102,1
103,0
104,0
105,5
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,3
116,2
117,2
118,3
119,0
120,5
121,7
122,12
123,5
124,1
125,1
126,8
127,5
128,3
129,2
130,6
131,7
132,1
133,2
134,2
135,11
136,0
137,9
138,14
139,10
140,3
141,3
142,13
143,13
144,19
145,6
146,3
147,12
148,11
149,8
150,13
151,3
152,9
153,7
154,2
155,13
156,12
157,9
158,15
159,11
160,10
161,17
162,11
163,18
164,10
165,2
166,5
167,13
168,11
169,5
170,7
171,14
172,1
173,5
174,23
175,1
176,16
177,20
178,9
179,15
180,8
181,7
182,12
183,11
184,12
185,7
186,11
187,4
188,3
189,4
190,16
191,12
192,0
193,5
194,2
195,7
196,18
197,12
198,10
199,8
200,5
201,1
202,19
203,12
204,13
205,13
206,9
207,13
208,10
209,19
210,11
211,9
212,11
213,11
214,15
215,4
216,20
217,23
218,9
219,3
220,16
221,21
222,4
223,7
224,18
225,15
226,9
227,7
228,20
229,9
230,9
231,15
232,9
233,14
234,4
235,19
236,8
237,4
238,20
239,6
240,7
241,11
242,3
243,12
244,4
245,7
246,17
247,14
248,6
249,9
250,24
251,7
252,16
253,9
254,21
255,9
256,14
257,14
258,11
259,14
260,17
261,11
262,8
263,13
264,11
265,20
266,13
267,21
268,12
269,20
270,17
271,0
272,19
273,18
274,6
275,17
276,10
277,10
278,16
279,14
280,11
281,7
282,14
283,9
284,7
285,12
286,10
287,18
288,14
289,11
290,11
291,21
292,13
293,15
294,11
295,14
296,18
297,10
298,19
299,13
300,13
301,12
302,20
303,15
304,2
305,14
306,8
307,10
308,12
309,3
310,18
311,8
312,12
313,15
314,23
315,11
316,9
317,11
318,17
319,10
320,5
321,2
322,16
323,15
324,14
325,12
326,19
327,13
328,5
329,11
330,21
331,13
332,8
333,21
334,21
335,24
336,3
337,12
338,15
339,5
340,11
341,9
342,19
343,11
344,27
345,18
346,13
347,16
348,7
349,18
350,8
351,6
352,12
353,11
354,14
355,26
356,8
357,8
358,15
359,24
360,5
361,9
362,10
363,16
364,32
365,14
366,25
367,3
368,17
369,24
370,14
371,23
372,15
373,14
374,2
375,14
376,15
377,11
378,22
379,22
380,17
381,2
382,9
383,2
384,12
385,4
386,13
387,2
388,11
389,11
390,10
391,10
392,21
393,15
394,27
395,13
396,11
397,13
398,9
399,17
400,4
401,10
402,12
403,22
404,19
405,18
406,29
407,11
408,12
409,10
410,9
411,16
412,11
413,14
414,14
415,24
416,19
417,17
418,15
419,15
420,14
421,22
422,9
423,10
424,7
425,11
426,15
427,5
428,19
429,17
430,6
431,3
432,17
433,4
434,17
435,5
436,8
437,8
438,9
439,16
440,19
441,14
442,24
443,13
444,12
445,6
446,14
447,20
448,13
449,2
450,18
451,10
452,17
453,21
454,12
455,9
456,18
457,18
458,11
459,12
460,1
461,10
462,10
463,20
464,20
465,5
466,9
467,9
468,19
469,21
470,13
471,2
472,16
473,8
474,13
475,19
476,11
477,2
478,8
479,28
480,15
481,18
482,7
483,27
484,26
485,16
486,11
487,9
488,24
489,17
490,23
491,9
492,4
493,13
494,15
495,18
496,16
497,13
498,19
499,15
500,21
