game,score
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,2
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,4
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,3
79,2
80,0
81,7
82,1
83,1
84,0
85,0
86,4
87,0
88,2
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,1
97,3
98,1
99,1
100,0
101,1
102,1
103,1
104,3
105,0
106,3
107,2
108,6
109,9
110,0
111,0
112,4
113,7
114,5
115,1
116,4
117,3
118,0
119,0
120,4
121,9
122,5
123,1
124,1
125,4
126,3
127,8
128,0
129,5
130,1
131,2
132,5
133,3
134,5
135,12
136,1
137,0
138,1
139,0
140,1
141,13
142,3
143,0
144,0
145,2
146,2
147,6
148,2
149,2
150,3
151,5
152,5
153,0
154,1
155,11
156,3
157,5
158,5
159,4
160,4
161,1
162,7
163,1
164,3
165,2
166,0
167,9
168,5
169,5
170,7
171,7
172,6
173,6
174,5
175,4
176,4
177,2
178,1
179,1
180,5
181,2
182,6
183,10
184,2
185,3
186,1
187,5
188,1
189,1
190,12
191,1
192,2
193,1
194,3
195,11
196,2
197,9
198,4
199,4
200,1
201,6
202,11
203,3
204,4
205,4
206,3
207,2
208,3
209,3
210,7
211,9
212,9
213,5
214,7
215,2
216,5
217,7
218,1
219,3
220,3
221,5
222,3
223,13
224,4
225,10
226,1
227,3
228,3
229,10
230,14
231,2
232,5
233,4
234,9
235,3
236,2
237,4
238,13
239,13
240,7
241,6
242,12
243,13
244,7
245,10
246,1
247,1
248,6
249,1
250,3
251,14
252,12
253,2
254,8
255,11
256,10
257,5
258,1
259,8
260,13
261,12
262,12
263,5
264,11
265,12
266,12
267,9
268,15
269,4
270,10
271,14
272,3
273,18
274,9
275,4
276,9
277,16
278,2
279,7
280,5
281,9
282,11
283,15
284,4
285,2
286,5
287,3
288,1
289,12
290,6
291,4
292,2
293,19
294,10
295,5
296,6
297,4
298,8
299,8
300,4
301,10
302,8
303,9
304,8
305,12
306,18
307,12
308,3
309,11
310,4
311,15
312,9
313,12
314,16
315,8
316,12
317,7
318,15
319,10
320,9
321,6
322,6
323,3
324,6
325,11
326,13
327,2
328,10
329,10
330,6
331,23
332,16
333,8
334,9
335,16
336,14
337,17
338,7
339,10
340,3
341,1
342,5
343,12
344,6
345,13
346,10
347,13
348,5
349,9
350,4
351,8
352,2
353,8
354,18
355,14
356,9
357,14
358,2
359,6
360,13
361,6
362,12
363,9
364,8
365,7
366,9
367,12
368,6
369,13
370,8
371,5
372,10
373,10
374,10
375,15
376,9
377,14
378,6
379,14
380,5
381,1
382,12
383,2
384,6
385,12
386,16
387,10
388,9
389,7
390,3
391,13
392,4
393,9
394,10
395,14
396,15
397,5
398,15
399,10
400,6
401,12
402,2
403,7
404,1
405,12
406,6
407,17
408,6
409,16
410,9
411,10
412,17
413,14
414,13
415,10
416,7
417,9
418,1
419,8
420,5
421,20
422,10
423,5
424,13
425,8
426,2
427,16
428,16
429,5
430,9
431,3
432,4
433,15
434,14
435,6
436,2
437,17
438,7
439,13
440,3
441,12
442,6
443,11
444,12
445,15
446,8
447,12
448,7
449,7
450,7
451,6
452,10
453,6
454,13
455,10
456,8
457,8
458,24
459,15
460,12
461,13
462,17
463,3
464,6
465,6
466,1
467,4
468,9
469,15
470,7
471,11
472,5
473,8
474,11
475,7
476,17
477,9
478,12
479,7
480,10
481,16
482,16
483,13
484,26
485,6
486,6
487,19
488,1
489,15
490,3
491,13
492,8
493,11
494,26
495,18
496,6
497,10
498,14
499,12
500,9
