game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,2
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,2
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,2
49,0
50,1
51,0
52,0
53,0
54,3
55,0
56,2
57,0
58,0
59,6
60,0
61,0
62,3
63,0
64,1
65,0
66,0
67,3
68,0
69,1
70,0
71,0
72,3
73,3
74,0
75,1
76,0
77,0
78,0
79,0
80,2
81,1
82,1
83,0
84,2
85,0
86,0
87,2
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,2
99,2
100,0
101,0
102,0
103,0
104,5
105,7
106,2
107,0
108,6
109,3
110,1
111,2
112,0
113,13
114,3
115,2
116,0
117,2
118,6
119,0
120,0
121,0
122,0
123,4
124,3
125,0
126,8
127,1
128,0
129,0
130,6
131,2
132,2
133,2
134,3
135,0
136,5
137,2
138,7
139,3
140,5
141,0
142,0
143,0
144,1
145,1
146,2
147,8
148,1
149,1
150,5
151,1
152,18
153,1
154,5
155,10
156,5
157,10
158,6
159,5
160,1
161,11
162,13
163,8
164,13
165,8
166,6
167,7
168,14
169,4
170,3
171,19
172,14
173,4
174,7
175,1
176,12
177,19
178,7
179,1
180,10
181,12
182,12
183,24
184,16
185,7
186,15
187,14
188,8
189,18
190,16
191,21
192,6
193,19
194,23
195,7
196,15
197,2
198,2
199,22
200,29
201,12
202,11
203,20
204,13
205,13
206,11
207,10
208,9
209,21
210,3
211,10
212,11
213,7
214,3
215,17
216,28
217,1
218,15
219,28
220,15
221,5
222,13
223,14
224,13
225,6
226,33
227,17
228,20
229,1
230,1
231,14
232,11
233,13
234,1
235,20
236,7
237,11
238,14
239,17
240,13
241,11
242,12
243,22
244,22
245,20
246,19
247,13
248,12
249,10
250,5
251,13
252,23
253,15
254,12
255,20
256,15
257,18
258,16
259,19
260,18
261,16
262,9
263,8
264,7
265,20
266,11
267,6
268,19
269,17
270,9
271,15
272,8
273,14
274,15
275,13
276,5
277,3
278,3
279,10
280,8
281,5
282,19
283,13
284,27
285,9
286,13
287,17
288,1
289,18
290,9
291,0
292,15
293,14
294,17
295,10
296,7
297,10
298,9
299,25
300,14
301,19
302,18
303,10
304,20
305,14
306,13
307,11
308,13
309,2
310,15
311,19
312,24
313,20
314,14
315,12
316,8
317,16
318,25
319,17
320,13
321,17
322,15
323,14
324,20
325,12
326,5
327,5
328,20
329,20
330,16
331,15
332,13
333,9
334,25
335,9
336,3
337,9
338,2
339,16
340,4
341,21
342,9
343,14
344,19
345,14
346,3
347,3
348,19
349,23
350,10
351,18
352,14
353,23
354,8
355,1
356,13
357,26
358,14
359,13
360,19
361,18
362,15
363,10
364,20
365,23
366,26
367,4
368,17
369,9
370,17
371,13
372,3
373,6
374,7
375,1
376,30
377,9
378,5
379,19
380,17
381,12
382,5
383,16
384,10
385,22
386,9
387,13
388,17
389,15
390,16
391,14
392,15
393,16
394,7
395,2
396,20
397,3
398,2
399,5
400,10
401,17
402,13
403,13
404,16
405,9
406,7
407,4
408,12
409,1
410,18
411,23
412,10
413,15
414,7
415,8
416,21
417,24
418,28
419,27
420,16
421,19
422,22
423,3
424,24
425,19
426,14
427,19
428,5
429,4
430,17
431,2
432,10
433,21
434,17
435,6
436,10
437,22
438,20
439,9
440,12
441,2
442,9
443,15
444,17
445,12
446,13
447,8
448,21
449,7
450,7
451,17
452,18
453,18
454,6
455,10
456,23
457,19
458,6
459,4
460,15
461,8
462,20
463,12
464,13
465,9
466,27
467,12
468,13
469,16
470,9
471,9
472,20
473,5
474,11
475,5
476,15
477,12
478,12
479,13
480,21
481,5
482,10
483,12
484,17
485,16
486,8
487,13
488,12
489,17
490,24
491,12
492,7
493,21
494,3
495,13
496,25
497,19
498,16
499,13
500,24
