game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,2
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,2
63,0
64,0
65,0
66,0
67,1
68,0
69,2
70,0
71,0
72,0
73,2
74,1
75,5
76,2
77,3
78,1
79,1
80,1
81,2
82,2
83,5
84,2
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,3
99,1
100,1
101,1
102,5
103,5
104,1
105,2
106,0
107,5
108,4
109,5
110,0
111,3
112,6
113,1
114,1
115,0
116,5
117,5
118,8
119,0
120,0
121,0
122,1
123,7
124,5
125,2
126,1
127,3
128,9
129,1
130,6
131,1
132,3
133,8
134,4
135,1
136,6
137,2
138,2
139,3
140,5
141,1
142,4
143,8
144,9
145,1
146,0
147,10
148,0
149,0
150,5
151,3
152,8
153,2
154,2
155,7
156,6
157,5
158,1
159,2
160,2
161,7
162,1
163,7
164,2
165,6
166,2
167,10
168,10
169,8
170,3
171,1
172,3
173,5
174,8
175,9
176,7
177,2
178,8
179,8
180,5
181,7
182,1
183,11
184,7
185,2
186,9
187,2
188,12
189,5
190,2
191,10
192,6
193,2
194,6
195,10
196,6
197,10
198,1
199,5
200,9
201,2
202,9
203,11
204,3
205,6
206,11
207,12
208,13
209,1
210,1
211,8
212,4
213,11
214,2
215,3
216,8
217,4
218,7
219,5
220,1
221,4
222,3
223,4
224,2
225,1
226,3
227,13
228,9
229,7
230,8
231,7
232,1
233,11
234,5
235,18
236,3
237,5
238,5
239,7
240,24
241,5
242,7
243,12
244,11
245,8
246,11
247,2
248,10
249,12
250,8
251,6
252,6
253,14
254,7
255,1
256,2
257,7
258,9
259,7
260,6
261,7
262,10
263,19
264,12
265,6
266,4
267,10
268,2
269,3
270,9
271,15
272,16
273,2
274,13
275,11
276,9
277,10
278,9
279,3
280,5
281,7
282,3
283,6
284,7
285,4
286,7
287,18
288,14
289,5
290,5
291,8
292,2
293,2
294,10
295,1
296,16
297,8
298,13
299,7
300,5
301,11
302,12
303,7
304,6
305,4
306,4
307,0
308,7
309,10
310,8
311,4
312,2
313,13
314,9
315,3
316,1
317,5
318,8
319,3
320,3
321,12
322,7
323,7
324,16
325,7
326,8
327,10
328,11
329,11
330,13
331,12
332,15
333,8
334,13
335,4
336,10
337,2
338,15
339,9
340,8
341,15
342,4
343,9
344,16
345,1
346,18
347,14
348,15
349,14
350,11
351,6
352,4
353,3
354,9
355,8
356,2
357,11
358,15
359,8
360,11
361,10
362,8
363,8
364,16
365,8
366,4
367,10
368,2
369,11
370,13
371,7
372,20
373,1
374,5
375,8
376,16
377,1
378,16
379,12
380,8
381,8
382,11
383,13
384,3
385,9
386,16
387,5
388,10
389,6
390,1
391,12
392,14
393,0
394,9
395,2
396,13
397,21
398,1
399,8
400,7
401,11
402,13
403,15
404,11
405,13
406,19
407,19
408,13
409,5
410,11
411,11
412,10
413,16
414,12
415,22
416,19
417,2
418,10
419,14
420,18
421,7
422,7
423,9
424,4
425,12
426,13
427,8
428,9
429,5
430,10
431,11
432,4
433,8
434,19
435,2
436,9
437,1
438,13
439,15
440,17
441,7
442,1
443,7
444,13
445,19
446,9
447,15
448,17
449,1
450,2
451,22
452,14
453,2
454,13
455,15
456,6
457,14
458,13
459,12
460,8
461,9
462,6
463,10
464,10
465,14
466,15
467,13
468,5
469,13
470,12
471,26
472,20
473,3
474,3
475,17
476,22
477,17
478,13
479,21
480,6
481,11
482,0
483,22
484,7
485,17
486,10
487,6
488,2
489,11
490,13
491,6
492,8
493,6
494,9
495,6
496,2
497,11
498,17
499,5
500,20
