game,score
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,2
24,0
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,2
59,1
60,1
61,0
62,0
63,3
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,3
81,0
82,0
83,0
84,0
85,4
86,0
87,0
88,0
89,3
90,2
91,1
92,0
93,0
94,2
95,1
96,2
97,0
98,0
99,4
100,1
101,3
102,2
103,2
104,0
105,0
106,0
107,5
108,0
109,3
110,0
111,0
112,1
113,4
114,2
115,0
116,3
117,0
118,0
119,11
120,4
121,0
122,9
123,3
124,6
125,0
126,0
127,3
128,7
129,2
130,1
131,1
132,0
133,3
134,2
135,5
136,13
137,9
138,5
139,3
140,1
141,6
142,0
143,7
144,4
145,0
146,6
147,1
148,11
149,11
150,7
151,13
152,6
153,16
154,7
155,3
156,17
157,15
158,10
159,4
160,0
161,4
162,2
163,9
164,4
165,11
166,3
167,6
168,9
169,6
170,13
171,9
172,2
173,5
174,2
175,7
176,12
177,11
178,10
179,10
180,8
181,18
182,12
183,2
184,23
185,5
186,7
187,4
188,5
189,11
190,2
191,12
192,10
193,1
194,1
195,11
196,5
197,21
198,7
199,6
200,13
201,6
202,1
203,21
204,13
205,10
206,9
207,12
208,8
209,11
210,23
211,22
212,14
213,9
214,17
215,7
216,13
217,16
218,10
219,8
220,14
221,12
222,10
223,16
224,9
225,19
226,21
227,21
228,18
229,15
230,16
231,1
232,15
233,8
234,11
235,12
236,19
237,16
238,11
239,8
240,19
241,3
242,19
243,4
244,9
245,7
246,25
247,6
248,25
249,25
250,8
251,13
252,8
253,13
254,9
255,14
256,7
257,8
258,11
259,26
260,13
261,11
262,24
263,11
264,11
265,5
266,4
267,15
268,19
269,4
270,17
271,10
272,8
273,11
274,15
275,8
276,1
277,14
278,13
279,13
280,25
281,22
282,9
283,10
284,20
285,8
286,24
287,12
288,3
289,11
290,6
291,1
292,19
293,11
294,15
295,17
296,15
297,8
298,2
299,15
300,10
301,13
302,5
303,10
304,21
305,10
306,14
307,13
308,12
309,0
310,8
311,8
312,17
313,7
314,14
315,4
316,8
317,22
318,15
319,20
320,6
321,11
322,11
323,16
324,4
325,11
326,14
327,18
328,18
329,7
330,7
331,19
332,15
333,7
334,15
335,11
336,7
337,20
338,19
339,8
340,21
341,18
342,12
343,25
344,5
345,7
346,14
347,17
348,18
349,14
350,15
351,2
352,17
353,13
354,5
355,23
356,8
357,5
358,17
359,10
360,13
361,10
362,7
363,5
364,12
365,21
366,14
367,3
368,4
369,18
370,13
371,10
372,9
373,19
374,16
375,13
376,1
377,14
378,10
379,12
380,3
381,14
382,6
383,16
384,7
385,18
386,5
387,25
388,15
389,17
390,16
391,9
392,9
393,5
394,16
395,17
396,17
397,14
398,16
399,24
400,14
401,4
402,17
403,12
404,16
405,17
406,8
407,18
408,14
409,20
410,3
411,11
412,11
413,10
414,17
415,5
416,16
417,1
418,2
419,7
420,14
421,18
422,20
423,13
424,11
425,6
426,11
427,5
428,10
429,24
430,16
431,6
432,27
433,18
434,16
435,12
436,18
437,19
438,15
439,11
440,18
441,7
442,15
443,17
444,12
445,5
446,3
447,4
448,0
449,22
450,21
451,8
452,20
453,8
454,13
455,16
456,15
457,15
458,14
459,17
460,18
461,10
462,15
463,13
464,18
465,6
466,15
467,13
468,2
469,7
470,13
471,13
472,16
473,1
474,10
475,26
476,18
477,3
478,22
479,26
480,12
481,23
482,7
483,7
484,18
485,21
486,7
487,19
488,10
489,26
490,3
491,25
492,17
493,29
494,13
495,11
496,5
497,3
498,5
499,1
500,9
