game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,2
15,0
16,1
17,2
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,3
28,2
29,3
30,3
31,1
32,3
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,3
41,2
42,1
43,0
44,2
45,1
46,0
47,2
48,0
49,2
50,0
51,0
52,3
53,2
54,2
55,3
56,1
57,0
58,0
59,1
60,2
61,1
62,2
63,0
64,3
65,0
66,0
67,0
68,4
69,4
70,3
71,1
72,10
73,2
74,20
75,0
76,1
77,3
78,1
79,0
80,4
81,6
82,7
83,2
84,9
85,4
86,4
87,2
88,2
89,3
90,0
91,5
92,0
93,5
94,9
95,5
96,9
97,15
98,8
99,11
100,0
101,9
102,18
103,8
104,12
105,11
106,21
107,5
108,12
109,16
110,6
111,9
112,17
113,31
114,1
115,7
116,6
117,20
118,8
119,25
120,19
121,12
122,7
123,6
124,18
125,20
126,14
127,17
128,2
129,22
130,18
131,8
132,15
133,19
134,15
135,2
136,11
137,19
138,9
139,16
140,15
141,1
142,6
143,20
144,5
145,17
146,19
147,18
148,14
149,31
150,16
151,9
152,5
153,31
154,6
155,7
156,19
157,3
158,23
159,22
160,7
161,11
162,11
163,2
164,15
165,6
166,16
167,17
168,11
169,14
170,10
171,1
172,12
173,15
174,17
175,11
176,5
177,1
178,13
179,14
180,13
181,10
182,10
183,17
184,7
185,20
186,7
187,11
188,12
189,17
190,25
191,19
192,20
193,9
194,13
195,22
196,22
197,18
198,18
199,21
200,16
201,23
202,6
203,21
204,27
205,25
206,27
207,13
208,14
209,18
210,22
211,13
212,22
213,17
214,13
215,14
216,8
217,10
218,13
219,16
220,12
221,11
222,12
223,13
224,20
225,15
226,23
227,18
228,13
229,20
230,8
231,13
232,22
233,15
234,9
235,16
236,17
237,12
238,3
239,20
240,5
241,26
242,14
243,14
244,4
245,2
246,15
247,11
248,28
249,13
250,17
251,13
252,9
253,4
254,8
255,14
256,18
257,15
258,17
259,1
260,14
261,5
262,7
263,20
264,6
265,8
266,5
267,15
268,8
269,15
270,22
271,12
272,20
273,2
274,9
275,11
276,18
277,2
278,21
279,17
280,15
281,21
282,18
283,2
284,4
285,2
286,14
287,16
288,10
289,15
290,14
291,5
292,22
293,10
294,14
295,12
296,15
297,9
298,21
299,12
300,18
301,21
302,9
303,14
304,15
305,4
306,19
307,2
308,11
309,6
310,19
311,13
312,10
313,4
314,1
315,26
316,11
317,17
318,8
319,18
320,5
321,19
322,11
323,24
324,9
325,5
326,4
327,6
328,18
329,13
330,12
331,1
332,21
333,29
334,21
335,14
336,18
337,6
338,17
339,17
340,13
341,20
342,2
343,14
344,19
345,18
346,13
347,6
348,12
349,23
350,4
351,15
352,11
353,10
354,13
355,31
356,26
357,4
358,3
359,13
360,20
361,16
362,6
363,10
364,23
365,20
366,19
367,20
368,14
369,8
370,20
371,23
372,16
373,11
374,13
375,11
376,20
377,20
378,11
379,19
380,26
381,3
382,16
383,6
384,24
385,13
386,16
387,15
388,11
389,6
390,6
391,19
392,24
393,18
394,17
395,3
396,19
397,13
398,13
399,8
400,2
401,3
402,21
403,13
404,9
405,18
406,13
407,10
408,18
409,17
410,12
411,17
412,10
413,11
414,3
415,14
416,7
417,14
418,5
419,14
420,9
421,5
422,6
423,9
424,5
425,6
426,4
427,15
428,5
429,8
430,15
431,17
432,17
433,15
434,16
435,17
436,16
437,3
438,6
439,5
440,5
441,6
442,16
443,12
444,5
445,19
446,7
447,10
448,12
449,9
450,9
451,17
452,11
453,20
454,8
455,16
456,15
457,7
458,18
459,11
460,17
461,21
462,1
463,13
464,6
465,18
466,22
467,9
468,14
469,18
470,13
471,17
472,19
473,31
474,1
475,14
476,18
477,8
478,3
479,19
480,20
481,13
482,3
483,21
484,21
485,16
486,20
487,23
488,10
489,13
490,8
491,9
492,9
493,12
494,3
495,18
496,20
497,16
498,12
499,12
500,17
