game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,2
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,4
56,0
57,0
58,0
59,0
60,2
61,0
62,1
63,1
64,1
65,0
66,2
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,7
77,3
78,0
79,1
80,2
81,1
82,2
83,1
84,2
85,0
86,0
87,2
88,0
89,1
90,2
91,0
92,1
93,3
94,2
95,1
96,0
97,2
98,3
99,0
100,0
101,0
102,5
103,6
104,3
105,5
106,1
107,1
108,1
109,6
110,1
111,7
112,8
113,1
114,3
115,0
116,1
117,3
118,2
119,1
120,2
121,0
122,4
123,3
124,1
125,2
126,4
127,9
128,5
129,0
130,12
131,5
132,2
133,1
134,8
135,5
136,0
137,0
138,1
139,1
140,0
141,1
142,11
143,1
144,5
145,10
146,0
147,3
148,11
149,6
150,9
151,1
152,4
153,1
154,3
155,1
156,2
157,8
158,3
159,1
160,3
161,7
162,3
163,4
164,2
165,3
166,12
167,5
168,10
169,1
170,6
171,9
172,18
173,9
174,7
175,10
176,1
177,13
178,3
179,5
180,9
181,7
182,8
183,10
184,1
185,4
186,7
187,7
188,7
189,17
190,5
191,3
192,9
193,15
194,1
195,1
196,6
197,3
198,3
199,5
200,7
201,7
202,12
203,5
204,7
205,11
206,3
207,9
208,11
209,3
210,1
211,15
212,6
213,13
214,9
215,8
216,15
217,3
218,3
219,18
220,6
221,5
222,4
223,3
224,11
225,7
226,8
227,6
228,5
229,4
230,10
231,1
232,5
233,3
234,8
235,3
236,9
237,6
238,6
239,1
240,18
241,1
242,10
243,7
244,2
245,10
246,11
247,5
248,8
249,2
250,9
251,4
252,6
253,12
254,15
255,1
256,3
257,8
258,5
259,7
260,5
261,5
262,12
263,1
264,1
265,13
266,4
267,9
268,9
269,11
270,10
271,5
272,7
273,0
274,7
275,15
276,5
277,1
278,10
279,5
280,13
281,1
282,5
283,8
284,14
285,5
286,7
287,5
288,16
289,6
290,6
291,1
292,9
293,10
294,17
295,15
296,13
297,15
298,5
299,11
300,6
301,10
302,6
303,10
304,13
305,5
306,2
307,4
308,24
309,11
310,12
311,9
312,7
313,8
314,9
315,9
316,6
317,3
318,4
319,2
320,4
321,8
322,11
323,9
324,5
325,13
326,12
327,14
328,12
329,3
330,2
331,4
332,11
333,9
334,11
335,19
336,0
337,9
338,12
339,7
340,17
341,6
342,6
343,2
344,10
345,1
346,15
347,14
348,7
349,3
350,3
351,5
352,15
353,7
354,9
355,10
356,14
357,17
358,12
359,9
360,11
361,3
362,5
363,9
364,4
365,18
366,9
367,14
368,11
369,1
370,17
371,7
372,7
373,13
374,2
375,11
376,3
377,12
378,9
379,16
380,14
381,12
382,7
383,11
384,16
385,8
386,10
387,12
388,3
389,12
390,12
391,12
392,1
393,8
394,19
395,13
396,6
397,14
398,4
399,20
400,17
401,10
402,13
403,10
404,5
405,13
406,16
407,12
408,8
409,11
410,2
411,11
412,7
413,12
414,4
415,9
416,15
417,4
418,11
419,4
420,17
421,5
422,26
423,5
424,11
425,7
426,8
427,15
428,17
429,13
430,21
431,2
432,16
433,9
434,4
435,11
436,10
437,9
438,15
439,7
440,14
441,8
442,8
443,11
444,14
445,23
446,7
447,9
448,12
449,15
450,14
451,14
452,13
453,13
454,18
455,14
456,7
457,9
458,11
459,8
460,25
461,11
462,24
463,13
464,16
465,12
466,9
467,9
468,14
469,9
470,1
471,11
472,10
473,7
474,10
475,11
476,6
477,13
478,13
479,4
480,10
481,6
482,3
483,5
484,9
485,15
486,13
487,2
488,9
489,21
490,5
491,10
492,13
493,15
494,1
495,17
496,14
497,12
498,0
499,5
500,15
