game,score
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,3
36,0
37,0
38,1
39,0
40,0
41,0
42,3
43,1
44,0
45,0
46,0
47,0
48,3
49,2
50,0
51,1
52,3
53,0
54,3
55,4
56,0
57,2
58,5
59,0
60,0
61,0
62,0
63,2
64,0
65,1
66,8
67,0
68,0
69,3
70,2
71,6
72,3
73,3
74,0
75,2
76,3
77,2
78,0
79,2
80,0
81,0
82,6
83,6
84,0
85,5
86,4
87,3
88,5
89,8
90,8
91,6
92,12
93,2
94,3
95,17
96,4
97,2
98,5
99,1
100,1
101,15
102,3
103,3
104,4
105,5
106,0
107,4
108,11
109,8
110,0
111,15
112,15
113,17
114,25
115,13
116,17
117,15
118,11
119,17
120,17
121,12
122,3
123,10
124,8
125,6
126,6
127,10
128,0
129,11
130,13
131,21
132,5
133,9
134,23
135,12
136,8
137,18
138,11
139,15
140,19
141,11
142,6
143,8
144,11
145,17
146,10
147,17
148,25
149,11
150,12
151,8
152,6
153,12
154,14
155,24
156,22
157,7
158,20
159,5
160,14
161,4
162,5
163,6
164,21
165,7
166,14
167,16
168,11
169,7
170,12
171,11
172,21
173,25
174,1
175,3
176,16
177,8
178,8
179,5
180,19
181,4
182,16
183,18
184,9
185,6
186,1
187,10
188,13
189,12
190,14
191,12
192,19
193,24
194,11
195,5
196,13
197,14
198,12
199,3
200,16
201,26
202,6
203,13
204,13
205,17
206,6
207,19
208,7
209,15
210,13
211,1
212,11
213,16
214,28
215,7
216,24
217,12
218,3
219,16
220,5
221,8
222,12
223,14
224,8
225,24
226,27
227,19
228,15
229,19
230,9
231,16
232,23
233,5
234,5
235,10
236,10
237,14
238,13
239,19
240,11
241,12
242,19
243,20
244,17
245,19
246,15
247,18
248,13
249,21
250,16
251,18
252,9
253,13
254,10
255,8
256,2
257,11
258,27
259,18
260,11
261,17
262,8
263,10
264,1
265,7
266,12
267,6
268,20
269,13
270,8
271,5
272,23
273,5
274,14
275,22
276,7
277,6
278,24
279,14
280,18
281,17
282,6
283,8
284,11
285,19
286,19
287,17
288,11
289,10
290,2
291,11
292,11
293,14
294,4
295,9
296,17
297,9
298,17
299,13
300,14
301,12
302,9
303,14
304,13
305,12
306,2
307,20
308,11
309,15
310,6
311,21
312,11
313,10
314,16
315,15
316,19
317,13
318,20
319,7
320,16
321,28
322,15
323,25
324,14
325,17
326,18
327,25
328,15
329,11
330,17
331,15
332,22
333,9
334,13
335,11
336,5
337,13
338,4
339,17
340,17
341,23
342,1
343,9
344,21
345,23
346,15
347,1
348,17
349,19
350,26
351,14
352,5
353,18
354,16
355,15
356,10
357,12
358,7
359,12
360,15
361,22
362,8
363,12
364,16
365,10
366,18
367,22
368,21
369,13
370,11
371,12
372,2
373,12
374,13
375,26
376,0
377,14
378,28
379,25
380,5
381,23
382,9
383,18
384,4
385,3
386,15
387,10
388,10
389,15
390,15
391,21
392,12
393,13
394,5
395,15
396,7
397,18
398,14
399,27
400,13
401,14
402,19
403,18
404,12
405,13
406,9
407,11
408,12
409,16
410,2
411,15
412,13
413,6
414,11
415,25
416,12
417,18
418,11
419,22
420,9
421,17
422,15
423,18
424,15
425,18
426,16
427,12
428,9
429,7
430,13
431,10
432,8
433,16
434,14
435,22
436,12
437,4
438,9
439,21
440,14
441,13
442,8
443,14
444,7
445,11
446,9
447,9
448,21
449,18
450,14
451,25
452,9
453,19
454,26
455,11
456,8
457,15
458,4
459,18
460,12
461,20
462,6
463,20
464,13
465,2
466,16
467,12
468,7
469,15
470,7
471,11
472,15
473,16
474,24
475,26
476,17
477,8
478,5
479,13
480,6
481,24
482,9
483,8
484,13
485,1
486,5
487,5
488,14
489,19
490,1
491,9
492,13
493,21
494,16
495,16
496,18
497,16
498,18
499,7
500,14
