game,score
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,2
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,2
50,0
51,1
52,0
53,0
54,4
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,0
66,2
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,2
78,2
79,3
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,5
91,0
92,0
93,2
94,0
95,1
96,1
97,0
98,3
99,2
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,4
108,1
109,0
110,1
111,2
112,0
113,4
114,0
115,0
116,2
117,5
118,1
119,1
120,3
121,5
122,6
123,1
124,5
125,1
126,4
127,5
128,1
129,0
130,1
131,4
132,1
133,7
134,5
135,6
136,1
137,2
138,0
139,0
140,0
141,4
142,5
143,3
144,1
145,3
146,1
147,0
148,7
149,0
150,7
151,0
152,0
153,2
154,3
155,1
156,9
157,3
158,0
159,4
160,2
161,5
162,0
163,1
164,5
165,0
166,14
167,4
168,11
169,3
170,0
171,2
172,8
173,10
174,7
175,2
176,2
177,3
178,20
179,3
180,7
181,2
182,5
183,7
184,14
185,16
186,11
187,2
188,8
189,1
190,5
191,3
192,15
193,11
194,10
195,5
196,8
197,9
198,9
199,2
200,21
201,12
202,8
203,5
204,8
205,2
206,0
207,5
208,6
209,5
210,6
211,6
212,5
213,3
214,10
215,15
216,6
217,7
218,1
219,4
220,2
221,3
222,8
223,17
224,7
225,1
226,5
227,9
228,9
229,12
230,12
231,13
232,10
233,5
234,6
235,14
236,18
237,6
238,4
239,6
240,12
241,15
242,2
243,5
244,7
245,12
246,8
247,10
248,5
249,11
250,7
251,3
252,3
253,6
254,17
255,8
256,11
257,6
258,15
259,2
260,2
261,9
262,11
263,11
264,18
265,4
266,11
267,16
268,7
269,8
270,10
271,11
272,8
273,9
274,16
275,4
276,19
277,8
278,19
279,15
280,11
281,5
282,16
283,11
284,10
285,15
286,9
287,11
288,15
289,13
290,8
291,18
292,8
293,5
294,1
295,12
296,5
297,6
298,22
299,2
300,8
301,4
302,6
303,14
304,3
305,6
306,10
307,14
308,6
309,11
310,1
311,9
312,13
313,20
314,6
315,5
316,15
317,7
318,9
319,9
320,8
321,3
322,18
323,3
324,10
325,12
326,12
327,12
328,17
329,18
330,5
331,8
332,14
333,12
334,8
335,16
336,12
337,11
338,5
339,10
340,10
341,13
342,13
343,8
344,1
345,8
346,8
347,17
348,7
349,3
350,6
351,13
352,1
353,11
354,7
355,13
356,9
357,14
358,2
359,14
360,7
361,2
362,2
363,2
364,8
365,12
366,9
367,5
368,9
369,13
370,4
371,8
372,16
373,21
374,8
375,9
376,3
377,11
378,10
379,6
380,3
381,6
382,15
383,7
384,1
385,8
386,8
387,2
388,13
389,13
390,6
391,14
392,8
393,7
394,7
395,4
396,13
397,12
398,10
399,13
400,9
401,2
402,4
403,13
404,8
405,16
406,19
407,16
408,12
409,20
410,14
411,12
412,12
413,9
414,14
415,11
416,10
417,10
418,19
419,10
420,1
421,5
422,13
423,21
424,7
425,13
426,13
427,12
428,12
429,14
430,8
431,10
432,11
433,7
434,19
435,0
436,4
437,13
438,13
439,10
440,7
441,19
442,11
443,7
444,9
445,3
446,9
447,8
448,13
449,6
450,1
451,18
452,11
453,9
454,5
455,7
456,13
457,13
458,10
459,10
460,3
461,11
462,5
463,11
464,8
465,4
466,15
467,8
468,8
469,10
470,6
471,12
472,10
473,15
474,19
475,14
476,2
477,7
478,12
479,11
480,13
481,23
482,17
483,9
484,14
485,9
486,7
487,24
488,1
489,14
490,25
491,2
492,7
493,3
494,11
495,6
496,12
497,10
498,9
499,6
500,15
