game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,2
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,2
33,0
34,1
35,1
36,0
37,0
38,0
39,2
40,1
41,3
42,0
43,0
44,2
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,4
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,3
79,0
80,0
81,1
82,2
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,3
97,0
98,0
99,0
100,2
101,2
102,0
103,4
104,3
105,1
106,0
107,2
108,3
109,2
110,0
111,0
112,2
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,3
122,0
123,1
124,3
125,0
126,0
127,2
128,2
129,2
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,2
142,0
143,0
144,0
145,2
146,0
147,1
148,1
149,2
150,0
151,0
152,2
153,5
154,4
155,0
156,6
157,5
158,2
159,1
160,4
161,0
162,1
163,2
164,6
165,3
166,7
167,7
168,1
169,6
170,5
171,2
172,10
173,9
174,4
175,2
176,2
177,3
178,6
179,4
180,6
181,12
182,4
183,1
184,3
185,0
186,12
187,3
188,5
189,1
190,13
191,17
192,4
193,9
194,1
195,11
196,1
197,5
198,6
199,10
200,12
201,15
202,7
203,7
204,13
205,1
206,7
207,5
208,13
209,26
210,7
211,3
212,20
213,8
214,14
215,11
216,16
217,18
218,11
219,3
220,7
221,20
222,22
223,13
224,10
225,15
226,12
227,22
228,3
229,5
230,1
231,9
232,16
233,3
234,14
235,9
236,15
237,9
238,23
239,5
240,17
241,19
242,18
243,20
244,13
245,2
246,20
247,22
248,20
249,16
250,2
251,22
252,15
253,5
254,19
255,9
256,16
257,8
258,9
259,13
260,17
261,7
262,18
263,17
264,25
265,25
266,13
267,10
268,24
269,11
270,22
271,19
272,1
273,9
274,3
275,11
276,16
277,15
278,7
279,7
280,7
281,13
282,21
283,14
284,20
285,13
286,5
287,20
288,5
289,12
290,12
291,15
292,12
293,18
294,23
295,10
296,11
297,19
298,1
299,23
300,23
301,13
302,13
303,13
304,15
305,21
306,14
307,8
308,17
309,17
310,12
311,9
312,17
313,15
314,14
315,16
316,12
317,16
318,7
319,14
320,7
321,11
322,17
323,23
324,18
325,7
326,11
327,2
328,15
329,5
330,11
331,9
332,17
333,2
334,18
335,0
336,11
337,4
338,19
339,14
340,19
341,25
342,21
343,9
344,17
345,6
346,5
347,13
348,5
349,35
350,21
351,19
352,17
353,22
354,11
355,20
356,13
357,8
358,17
359,17
360,15
361,21
362,7
363,12
364,20
365,15
366,9
367,17
368,12
369,17
370,24
371,15
372,11
373,19
374,12
375,13
376,10
377,10
378,8
379,11
380,17
381,14
382,25
383,6
384,27
385,18
386,19
387,21
388,17
389,26
390,17
391,4
392,26
393,2
394,9
395,6
396,7
397,13
398,14
399,21
400,16
401,15
402,16
403,12
404,28
405,3
406,0
407,15
408,2
409,20
410,11
411,15
412,16
413,2
414,22
415,19
416,11
417,13
418,25
419,6
420,2
421,16
422,20
423,1
424,14
425,4
426,9
427,13
428,1
429,8
430,21
431,17
432,4
433,20
434,18
435,14
436,20
437,24
438,23
439,18
440,2
441,11
442,18
443,12
444,13
445,13
446,10
447,12
448,11
449,13
450,9
451,13
452,7
453,9
454,8
455,12
456,18
457,13
458,11
459,12
460,16
461,16
462,16
463,12
464,28
465,6
466,8
467,11
468,22
469,13
470,30
471,22
472,9
473,14
474,22
475,19
476,19
477,3
478,15
479,24
480,13
481,7
482,7
483,15
484,3
485,20
486,23
487,1
488,5
489,2
490,12
491,14
492,10
493,8
494,13
495,18
496,3
497,24
498,6
499,18
500,3
